Site ID,Ozone,Units,QA Code,Update_Date,Ozone F,Selected Date_Time
Tulare,8,PPB,3,11/29/2022 11:25:31 PM,-,9/12/2022 5:00
San Bernardino,17,PPB,3,11/29/2022 11:25:31 PM,-,9/11/2022 23:00
Shasta,68,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 13:00
Inyo,26,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 5:00
Inyo,24,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 4:00
Inyo,22,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 2:00
Inyo,25,PPB,3,11/29/2022 11:25:31 PM,-,9/10/2022 0:00
Inyo,27,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 23:00
Mariposa,73,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 21:00
Mariposa,83,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 16:00
Mariposa,81,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 15:00
Mariposa,70,PPB,3,11/29/2022 11:25:31 PM,-,9/9/2022 14:00
San Benito,73,PPB,3,11/29/2022 11:25:31 PM,-,9/8/2022 16:00
Mariposa,85,PPB,3,11/29/2022 11:25:31 PM,-,9/8/2022 16:00
Mariposa,79,PPB,3,11/29/2022 11:25:31 PM,-,9/8/2022 15:00
Shasta,73,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 17:00
Shasta,75,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 16:00
Shasta,72,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 15:00
Shasta,66,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 14:00
Inyo,62,PPB,3,11/29/2022 11:25:31 PM,-,9/7/2022 12:00
Mariposa,71,PPB,3,11/29/2022 11:25:31 PM,-,9/6/2022 18:00
Tulare,92,PPB,3,11/29/2022 11:25:31 PM,-,9/4/2022 16:00
Tulare,98,PPB,3,11/29/2022 11:25:31 PM,-,9/2/2022 18:00
Tulare,97,PPB,3,11/29/2022 11:25:31 PM,-,9/2/2022 16:00
Tulare,95,PPB,3,11/29/2022 11:25:31 PM,-,9/2/2022 14:00
Tulare,87,PPB,3,11/29/2022 11:25:31 PM,-,9/1/2022 18:00
Tulare,91,PPB,3,11/29/2022 11:25:31 PM,-,9/1/2022 17:00
San Benito,68,PPB,3,11/29/2022 11:25:31 PM,-,9/1/2022 16:00
San Benito,74,PPB,3,10/30/2022 9:04:02 PM,-,8/31/2022 5:00:00 PM
San Benito,75,PPB,3,10/30/2022 9:04:02 PM,-,8/31/2022 4:00:00 PM
San Bernardino,75,PPB,3,10/30/2022 9:04:02 PM,-,8/30/2022 8:00:00 PM
San Bernardino,30,PPB,3,10/30/2022 9:04:02 PM,-,8/29/2022 4:00:00 AM
San Bernardino,29,PPB,3,10/30/2022 9:04:02 PM,-,8/29/2022 1:00:00 AM
Tulare,93,PPB,3,5/24/2024 10:39:41 AM,-,8/24/2022 4:00:00 PM
Tulare,67,PPB,3,10/30/2022 9:04:02 PM,-,8/24/2022 10:00:00 AM
Tulare,64,PPB,3,10/30/2022 9:04:02 PM,-,8/24/2022 9:00:00 AM
Tulare,88,PPB,3,10/30/2022 9:04:02 PM,-,8/23/2022 5:00:00 PM
Tulare,72,PPB,3,10/30/2022 9:04:02 PM,-,8/23/2022 12:00:00 PM
San Bernardino,84,PPB,3,10/30/2022 9:04:02 PM,-,8/22/2022 9:00:00 PM
San Bernardino,89,PPB,3,10/30/2022 9:04:02 PM,-,8/22/2022 7:00:00 PM
San Bernardino,93,PPB,3,10/30/2022 9:04:02 PM,-,8/22/2022 6:00:00 PM
Shasta,60,PPB,3,10/30/2022 9:04:02 PM,-,8/21/2022 2:00:00 PM
San Bernardino,78,PPB,3,10/30/2022 9:04:02 PM,-,8/19/2022 11:00:00 PM
San Bernardino,91,PPB,3,10/30/2022 9:04:02 PM,-,8/18/2022 6:00:00 PM
Tulare,83,PPB,3,10/30/2022 9:04:02 PM,-,8/18/2022 5:00:00 PM
Tulare,78,PPB,3,10/30/2022 9:04:02 PM,-,8/18/2022 3:00:00 PM
Tulare,63,PPB,3,10/30/2022 9:04:02 PM,-,8/18/2022 8:00:00 AM
Tulare,57,PPB,3,10/30/2022 9:04:02 PM,-,8/17/2022 2:00:00 PM
San Bernardino,83,PPB,3,10/30/2022 9:04:02 PM,-,8/16/2022 11:00:00 PM
San Benito,65,PPB,3,10/30/2022 9:04:02 PM,-,8/16/2022 5:00:00 PM
Tulare,89,PPB,3,5/24/2024 10:39:41 AM,-,8/12/2022 17:00
Tulare,74,PPB,3,10/30/2022 9:04:02 PM,-,8/9/2022 11:00
Tulare,61,PPB,3,10/30/2022 9:04:02 PM,-,8/9/2022 9:00
Tulare,53,PPB,3,10/30/2022 9:04:02 PM,-,8/9/2022 8:00
Inyo,66,PPB,3,10/30/2022 9:04:02 PM,-,8/6/2022 21:00
Inyo,69,PPB,3,10/30/2022 9:04:02 PM,-,8/6/2022 18:00
Mariposa,70,PPB,3,10/30/2022 9:04:02 PM,-,8/6/2022 16:00
Mariposa,72,PPB,3,10/30/2022 9:04:02 PM,-,8/6/2022 15:00
Mariposa,75,PPB,3,10/30/2022 9:04:02 PM,-,8/6/2022 14:00
Mariposa,73,PPB,3,10/30/2022 9:04:02 PM,-,8/6/2022 13:00
Mariposa,27,PPB,3,10/30/2022 9:04:02 PM,-,8/6/2022 4:00
Mariposa,23,PPB,3,10/30/2022 9:04:02 PM,-,8/6/2022 2:00
Tulare,60,PPB,3,10/30/2022 9:04:02 PM,-,8/5/2022 14:00
Tulare,59,PPB,3,10/30/2022 9:04:02 PM,-,8/5/2022 13:00
Tulare,49,PPB,3,10/30/2022 9:04:02 PM,-,8/5/2022 12:00
Tulare,37,PPB,3,10/30/2022 9:04:02 PM,-,8/5/2022 11:00
Shasta,16,PPB,3,10/30/2022 9:04:02 PM,-,8/3/2022 7:00
Mariposa,32,PPB,3,10/30/2022 9:04:02 PM,-,8/2/2022 6:00
Shasta,15,PPB,3,10/30/2022 9:04:02 PM,-,8/1/2022 18:00
Inyo,35,PPB,3,10/30/2022 9:04:02 PM,-,8/1/2022 6:00
Inyo,34,PPB,3,10/30/2022 9:04:02 PM,-,8/1/2022 5:00
Inyo,36,PPB,3,10/30/2022 9:04:02 PM,-,8/1/2022 4:00
Inyo,37,PPB,3,10/30/2022 9:04:02 PM,-,8/1/2022 3:00
San Bernardino,86,PPB,3,9/26/2022 11:45:39 AM,-,7/28/2022 7:00:00 PM
San Bernardino,81,PPB,3,9/26/2022 11:45:39 AM,-,7/26/2022 4:00:00 PM
San Benito,60,PPB,3,9/26/2022 11:45:39 AM,-,7/26/2022 2:00:00 PM
Mariposa,77,PPB,3,9/26/2022 11:45:39 AM,-,7/24/2022 12:00:00 PM
Mariposa,78,PPB,3,9/26/2022 11:45:39 AM,-,7/24/2022 11:00:00 AM
Inyo,69,PPB,3,9/26/2022 11:45:39 AM,-,7/23/2022 5:00:00 PM
