COUNTY,Week,Year,DATEOFF,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,DATEON
San Bernardino,1,2016,1/5/2016 8:00,0.188,0.046,0.54,0.21,0.068,0.02,0.053,0.3,0.745,0.297,0.113,0.522,1.276,12/29/2015
San Bernardino,1,2017,1/10/2017 8:00,0.172,0.141,0.459,0.178,0.028,0.034,0.203,0.057,0.39,0.32,0.122,0.328,0.842,1/3/2017
San Bernardino,1,2018,1/9/2018 8:00,0.176,0.017,1.052,0.408,0.032,0.021,0.036,0.133,0.53,0.194,0.074,0.238,1.566,1/2/2018
San Bernardino,1,2019,1/8/2019 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,1/1/2019
San Bernardino,1,2020,1/7/2020 8:00,0.048,0.008,0.489,0.19,0.019,0.011,0.058,0.067,0.202,0.113,0.043,0.223,0.683,12/31/2019
San Bernardino,1,2021,1/5/2021 8:00,0.21,0.033,0.589,0.229,0.026,0.021,0.097,0.064,0.298,0.12,0.046,0.229,0.877,12/29/2020
San Bernardino,1,2022,1/11/2022 8:00,0.126,0.015,1.267,0.492,0.02,0.012,0.033,0.082,0.272,0.156,0.06,0.153,1.519,1/4/2022
San Bernardino,2,2015,1/13/2015 8:00:00 AM,0.215,0.015,1.023,0.397,0.034,0.018,0.05,0.405,1.151,0.389,0.148,0.682,2.158,1/6/2015
San Bernardino,2,2016,1/12/2016 8:00,0.028,0.015,0.65,0.252,0.011,0.012,0.087,0.221,0.841,0.283,0.108,0.164,1.481,1/5/2016
San Bernardino,2,2017,1/17/2017 8:00:00 AM,0.119,0.066,0.461,0.179,0.029,0.024,0.148,0.096,0.383,0.251,0.096,0.31,0.837,1/10/2017
San Bernardino,2,2018,1/16/2018 8:00:00 AM,0.081,0.015,1.163,0.451,0.015,0.009,0.018,0.082,0.145,0.167,0.064,0.155,1.289,1/9/2018
San Bernardino,2,2019,1/15/2019 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/8/2019
San Bernardino,2,2020,1/14/2020 8:00:00 AM,0.178,0.027,1.207,0.468,0.032,0.033,0.239,0.241,1.14,0.344,0.131,0.531,2.327,1/7/2020
San Bernardino,2,2021,1/12/2021 8:00,0.21,0.033,0.588,0.228,0.026,0.021,0.097,0.064,0.298,0.12,0.046,0.229,0.876,1/5/2021
San Bernardino,2,2022,1/18/2022 8:00:00 AM,0.133,0.015,0.413,0.16,0.015,0.015,0.03,0.081,0.207,0.137,0.052,0.142,0.614,1/11/2022
San Bernardino,3,2015,1/20/2015 8:00:00 AM,0.069,0.015,0.586,0.227,0.01,0.006,0.013,0.093,0.099,0.309,0.118,0.208,0.676,1/13/2015
San Bernardino,3,2016,1/19/2016 8:00:00 AM,0.084,0.016,1.28,0.497,0.018,0.017,0.102,0.138,0.614,0.217,0.083,0.248,1.873,1/12/2016
San Bernardino,3,2017,1/24/2017 8:00:00 AM,0.039,0.299,0.527,0.204,0.018,0.038,0.306,0.063,0.543,0.309,0.118,0.238,1.062,1/17/2017
San Bernardino,3,2018,1/23/2018 8:00:00 AM,0.115,0.03,1.203,0.467,0.023,0.02,0.09,0.082,0.368,0.166,0.063,0.216,1.552,1/16/2018
San Bernardino,3,2019,1/22/2019 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/15/2019
San Bernardino,3,2020,1/21/2020 8:00:00 AM,0.113,0.015,1.25,0.485,0.026,0.016,0.088,0.114,0.386,0.174,0.066,0.306,1.616,1/14/2020
San Bernardino,3,2021,1/19/2021 8:00:00 AM,0.235,0.017,0.407,0.158,0.023,0.024,0.049,0.051,0.108,0.153,0.058,0.179,0.508,1/12/2021
San Bernardino,3,2022,1/25/2022 8:00:00 AM,0.308,0.027,0.507,0.197,0.047,0.037,0.099,0.107,0.221,0.205,0.078,0.289,0.72,1/18/2022
San Bernardino,4,2015,1/27/2015 8:00:00 AM,0.154,0.015,0.413,0.16,0.024,0.018,0.058,0.044,0.146,0.219,0.084,0.247,0.552,1/20/2015
San Bernardino,4,2016,1/26/2016 8:00:00 AM,0.054,0.02,0.936,0.363,0.013,0.009,0.04,0.091,0.202,0.269,0.103,0.201,1.123,1/19/2016
San Bernardino,4,2017,1/31/2017 8:00:00 AM,0.05,0.022,0.379,0.147,0.013,0.008,0.042,0.056,0.107,0.31,0.118,0.158,0.48,1/24/2017
San Bernardino,4,2018,1/30/2018 8:00:00 AM,0.129,0.026,0.573,0.222,0.025,0.019,0.07,0.061,0.217,0.17,0.065,0.207,0.781,1/23/2018
San Bernardino,4,2019,1/29/2019 8:00:00 AM,-,-,-,-,-,-,-,-,-,-,-,-,-,1/22/2019
San Bernardino,4,2020,1/28/2020 8:00:00 AM,0.126,0.015,1.26,0.489,0.022,0.014,0.045,0.138,0.267,0.157,0.06,0.342,1.507,1/21/2020
San Bernardino,4,2021,1/26/2021 8:00:00 AM,0.266,0.126,0.274,0.106,0.045,0.043,0.158,0.088,0.801,0.172,0.066,0.307,1.071,1/19/2021
San Bernardino,4,2022,2/1/2022 8:00,0.268,0.026,0.378,0.147,0.03,0.033,0.048,0.098,0.197,0.159,0.061,0.187,0.568,1/25/2022
San Bernardino,5,2015,2/3/2015 8:00,0.069,0.015,0.794,0.308,0.019,0.009,0.023,0.115,0.104,0.243,0.093,0.284,0.885,1/27/2015
San Bernardino,5,2016,2/2/2016 8:00,-,-,-,-,-,-,-,-,-,-,-,-,-,1/26/2016
San Bernardino,5,2017,2/7/2017 8:00,0.07,0.015,1.266,0.491,0.023,0.013,0.062,0.129,0.351,0.372,0.142,0.32,1.597,1/31/2017
San Bernardino,5,2018,2/6/2018 8:00,0.343,0.015,0.918,0.356,0.04,0.036,0.078,0.108,0.292,0.197,0.075,0.297,1.196,1/30/2018
San Bernardino,5,2019,2/5/2019 8:00,0.078,0.02,0.626,0.243,0.017,0.021,0.121,0.074,0.466,0.14,0.053,0.249,1.082,1/29/2019
San Bernardino,5,2020,2/4/2020 8:00,0.418,0.112,0.366,0.142,0.061,0.058,0.444,0.07,0.215,0.141,0.054,0.732,0.575,1/28/2020
San Bernardino,5,2021,2/2/2021 8:00,0.059,0.02,0.647,0.251,0.016,0.021,0.155,0.067,0.556,0.188,0.072,0.183,1.192,1/26/2021
San Bernardino,5,2022,2/8/2022 8:00,0.725,0.187,0.145,0.056,0.079,0.085,0.276,0.099,0.279,0.162,0.062,0.383,0.421,2/1/2022
San Bernardino,6,2015,2/10/2015 8:00,0.107,0.017,1.512,0.587,0.019,0.016,0.066,0.158,0.224,0.293,0.112,0.429,1.711,2/3/2015
San Bernardino,6,2016,2/9/2016 8:00,0.214,0.018,0.338,0.131,0.02,0.02,0.051,0.081,0.122,0.26,0.099,0.277,0.455,2/2/2016
San Bernardino,6,2017,2/14/2017 8:00:00 AM,0.063,0.016,0.516,0.2,0.014,0.008,0.027,0.095,0.103,0.368,0.14,0.282,0.61,2/7/2017
San Bernardino,6,2018,2/13/2018 8:00:00 AM,1.33,0.728,0.808,0.314,0.098,0.146,0.898,0.087,0.678,0.186,0.071,1.068,1.473,2/6/2018
San Bernardino,6,2019,2/12/2019 8:00,0.078,0.02,0.626,0.243,0.017,0.021,0.121,0.074,0.466,0.14,0.053,0.249,1.082,2/5/2019
San Bernardino,6,2020,2/11/2020 8:00,0.568,0.047,0.516,0.2,0.059,0.053,0.195,0.148,0.87,0.171,0.065,0.431,1.378,2/4/2020
San Bernardino,6,2021,2/9/2021 8:00,0.25,0.021,0.985,0.382,0.038,0.029,0.084,0.124,0.391,0.208,0.079,0.307,1.36,2/2/2021
San Bernardino,6,2022,2/15/2022 8:00:00 AM,0.175,0.023,0.416,0.161,0.029,0.022,0.051,0.08,0.108,0.123,0.047,0.238,0.517,2/8/2022
San Bernardino,7,2015,2/17/2015 8:00:00 AM,0.159,0.017,0.744,0.289,0.021,0.022,0.082,0.129,0.262,0.129,0.049,0.321,0.994,2/10/2015
San Bernardino,7,2016,2/16/2016 8:00:00 AM,0.238,0.024,0.627,0.243,0.03,0.021,0.065,0.069,0.157,0.124,0.047,0.21,0.774,2/9/2016
San Bernardino,7,2017,2/21/2017 8:00:00 AM,0.187,0.015,0.73,0.283,0.024,0.028,0.114,0.133,0.635,0.463,0.177,0.36,1.354,2/14/2017
San Bernardino,7,2018,2/20/2018 8:00:00 AM,0.275,0.271,0.595,0.231,0.047,0.062,0.406,0.173,1.123,0.299,0.114,0.506,1.709,2/13/2018
San Bernardino,7,2019,2/19/2019 8:00:00 AM,0.059,0.158,0.244,0.095,0.021,0.026,0.182,0.062,0.345,0.16,0.061,0.229,0.585,2/12/2019
San Bernardino,7,2020,2/18/2020 8:00:00 AM,0.234,0.017,2.117,0.821,0.044,0.034,0.128,0.238,0.803,0.257,0.098,0.437,2.886,2/11/2020
San Bernardino,7,2021,2/16/2021 8:00:00 AM,0.165,0.044,1.187,0.461,0.03,0.028,0.162,0.168,0.748,0.202,0.077,0.366,1.915,2/9/2021
San Bernardino,7,2022,2/22/2022 8:00:00 AM,0.248,0.383,0.358,0.139,0.033,0.057,0.335,0.111,0.679,0.143,0.055,0.399,1.031,2/15/2022
San Bernardino,8,2015,2/24/2015 8:00:00 AM,0.263,0.047,1.834,0.712,0.035,0.038,0.154,0.261,0.681,0.21,0.08,0.695,2.486,2/17/2015
San Bernardino,8,2016,2/23/2016 8:00:00 AM,0.243,0.036,0.889,0.345,0.033,0.026,0.109,0.12,0.344,0.232,0.089,0.368,1.219,2/16/2016
San Bernardino,8,2017,2/28/2017 8:00:00 AM,0.088,0.036,0.806,0.313,0.021,0.024,0.146,0.244,0.96,0.413,0.158,0.384,1.753,2/21/2017
San Bernardino,8,2018,2/27/2018 8:00:00 AM,0.263,0.209,0.618,0.24,0.067,0.052,0.29,0.172,1.037,0.214,0.082,0.361,1.645,2/20/2018
San Bernardino,8,2019,2/26/2019 8:00:00 AM,0.116,0.018,1.232,0.478,0.023,0.021,0.098,0.33,1.16,0.182,0.069,0.315,2.372,2/19/2019
San Bernardino,8,2020,2/25/2020 8:00:00 AM,0.305,0.029,0.701,0.272,0.046,0.04,0.17,0.204,0.542,0.218,0.083,0.676,1.231,2/18/2020
San Bernardino,8,2021,2/23/2021 8:00:00 AM,0.199,0.043,0.772,0.3,0.038,0.03,0.107,0.103,0.316,0.195,0.074,0.259,1.076,2/16/2021
San Bernardino,8,2022,3/1/2022 8:00,0.162,0.101,0.288,0.112,0.043,0.034,0.124,0.112,0.197,0.172,0.066,0.31,0.481,2/22/2022
San Bernardino,9,2015,3/3/2015 8:00,0.113,0.115,0.715,0.277,0.025,0.032,0.226,0.15,0.776,0.298,0.114,0.348,1.48,2/24/2015
San Bernardino,9,2016,3/1/2016 8:00,0.215,0.016,1.522,0.591,0.031,0.028,0.065,0.158,0.327,0.186,0.071,0.376,1.825,2/23/2016
San Bernardino,9,2017,3/7/2017 8:00,0.197,0.086,0.664,0.258,0.021,0.031,0.112,0.11,0.283,0.437,0.167,0.29,0.937,2/28/2017
San Bernardino,9,2018,3/6/2018 8:00,0.096,0.043,0.588,0.228,0.027,0.027,0.149,0.087,0.525,0.151,0.058,0.229,1.103,2/27/2018
San Bernardino,9,2019,3/5/2019 8:00,0.089,0.015,1.315,0.51,0.017,0.015,0.051,0.108,0.345,0.285,0.109,0.263,1.639,2/26/2019
San Bernardino,9,2020,3/3/2020 8:00,0.205,0.149,0.336,0.13,0.031,0.039,0.182,0.078,0.325,0.155,0.059,0.338,0.656,2/25/2020
San Bernardino,9,2021,3/2/2021 8:00,0.495,0.087,0.458,0.178,0.073,0.063,0.225,0.165,0.411,0.195,0.074,0.532,0.861,2/23/2021
San Bernardino,9,2022,3/8/2022 8:00,0.134,0.217,0.548,0.213,0.03,0.036,0.219,0.129,0.41,0.17,0.065,0.372,0.949,3/1/2022
San Bernardino,10,2015,3/10/2015 8:00,0.317,0.031,0.702,0.272,0.047,0.051,0.095,0.165,0.185,0.269,0.103,0.541,0.875,3/3/2015
San Bernardino,10,2016,3/8/2016 8:00,0.201,0.314,1.206,0.468,0.039,0.051,0.298,0.122,0.512,0.194,0.074,0.48,1.698,3/1/2016
San Bernardino,10,2017,3/14/2017 8:00:00 AM,0.164,0.019,1.082,0.42,0.023,0.018,0.043,0.114,0.213,0.224,0.085,0.276,1.277,3/7/2017
San Bernardino,10,2018,3/13/2018 8:00:00 AM,0.109,0.016,1.492,0.579,0.019,0.014,0.034,0.094,0.368,0.196,0.075,0.172,1.836,3/6/2018
San Bernardino,10,2019,3/12/2019 8:00,0.079,0.133,0.363,0.141,0.024,0.036,0.231,0.144,0.755,0.138,0.053,0.397,1.112,3/5/2019
San Bernardino,10,2020,3/10/2020 8:00,0.12,0.03,0.535,0.208,0.023,0.022,0.094,0.092,0.364,0.158,0.06,0.336,0.891,3/3/2020
San Bernardino,10,2021,3/9/2021 8:00,0.355,0.047,0.999,0.388,0.046,0.056,0.234,0.186,0.852,0.276,0.105,0.687,1.836,3/2/2021
San Bernardino,10,2022,3/15/2022 8:00:00 AM,0.474,0.11,0.574,0.223,0.058,0.056,0.272,0.172,0.604,0.197,0.075,0.542,1.169,3/8/2022
San Bernardino,11,2015,3/17/2015 8:00:00 AM,0.285,0.015,1.072,0.416,0.038,0.033,0.074,0.214,0.258,0.283,0.108,0.611,1.313,3/10/2015
San Bernardino,11,2016,3/15/2016 8:00:00 AM,0.169,0.19,0.699,0.271,0.038,0.055,0.286,0.113,0.682,0.268,0.102,0.418,1.37,3/8/2016
San Bernardino,11,2017,3/21/2017 8:00:00 AM,0.16,0.015,1.28,0.497,0.034,0.019,0.059,0.346,0.223,0.666,0.254,0.897,1.483,3/14/2017
San Bernardino,11,2018,3/20/2018 8:00:00 AM,0.058,0.096,0.453,0.176,0.017,0.024,0.164,0.086,0.384,0.149,0.057,0.225,0.83,3/13/2018
San Bernardino,11,2019,3/19/2019 8:00:00 AM,0.229,0.037,0.403,0.156,0.031,0.032,0.125,0.16,0.338,0.171,0.065,0.451,0.735,3/12/2019
San Bernardino,11,2020,3/17/2020 8:00:00 AM,0.036,0.058,0.523,0.203,0.016,0.018,0.117,0.094,0.299,0.097,0.037,0.273,0.813,3/10/2020
San Bernardino,11,2021,3/16/2021 8:00:00 AM,0.083,0.12,0.506,0.196,0.023,0.034,0.258,0.145,0.696,0.14,0.053,0.428,1.194,3/9/2021
San Bernardino,11,2022,3/22/2022 8:00:00 AM,0.463,0.106,0.843,0.327,0.09,0.083,0.26,0.162,0.592,0.234,0.089,0.657,1.422,3/15/2022
San Bernardino,12,2015,3/24/2015 8:00:00 AM,0.275,0.015,1.506,0.584,0.043,0.048,0.198,0.284,0.71,0.432,0.165,0.776,2.192,3/17/2015
San Bernardino,12,2016,3/22/2016 8:00:00 AM,0.313,0.031,1.561,0.606,0.059,0.057,0.161,0.213,0.758,0.325,0.124,0.609,2.295,3/15/2016
San Bernardino,12,2017,3/28/2017 8:00:00 AM,0.23,0.042,0.985,0.382,0.042,0.049,0.253,0.193,0.868,0.467,0.178,0.568,1.837,3/21/2017
San Bernardino,12,2018,3/27/2018 8:00:00 AM,0.13,0.166,0.655,0.254,0.03,0.033,0.197,0.133,0.468,0.169,0.064,0.359,1.113,3/20/2018
San Bernardino,12,2019,3/26/2019 8:00:00 AM,0.178,0.015,1.04,0.404,0.053,0.046,0.158,0.434,0.699,0.217,0.083,1.061,1.723,3/19/2019
San Bernardino,12,2020,3/24/2020 8:00:00 AM,0.045,0.045,0.461,0.179,0.014,0.021,0.139,0.084,0.435,0.089,0.034,0.246,0.889,3/17/2020
San Bernardino,12,2021,3/23/2021 8:00:00 AM,0.269,0.094,0.91,0.353,0.051,0.059,0.297,0.156,0.91,0.359,0.137,0.555,1.806,3/16/2021
San Bernardino,12,2022,3/29/2022 8:00:00 AM,0.294,0.03,1.182,0.459,0.037,0.037,0.092,0.116,0.338,0.229,0.087,0.375,1.501,3/22/2022
San Bernardino,13,2015,3/31/2015 8:00:00 AM,0.23,0.034,1.216,0.472,0.043,0.035,0.127,0.158,0.377,0.31,0.118,0.446,1.574,3/24/2015
San Bernardino,13,2016,3/29/2016 8:00:00 AM,0.401,0.408,0.736,0.286,0.064,0.08,0.46,0.166,0.925,0.311,0.119,0.601,1.649,3/22/2016
San Bernardino,13,2017,4/4/2017 8:00,0.446,0.105,0.618,0.24,0.071,0.057,0.276,0.284,0.543,0.621,0.237,0.859,1.151,3/28/2017
San Bernardino,13,2018,4/3/2018 8:00,0.036,0.284,0.105,0.041,0.023,0.032,0.231,0.072,0.161,0.149,0.057,0.329,0.264,3/27/2018
San Bernardino,13,2019,4/2/2019 8:00,0.172,0.016,0.855,0.332,0.042,0.034,0.096,0.198,0.403,0.155,0.059,0.555,1.244,3/26/2019
San Bernardino,13,2020,3/31/2020 8:00:00 AM,0.104,0.044,0.949,0.368,0.028,0.037,0.234,0.219,0.821,0.143,0.055,0.587,1.754,3/24/2020
San Bernardino,13,2021,3/30/2021 8:00:00 AM,0.501,0.25,0.451,0.175,0.088,0.097,0.388,0.171,0.746,0.209,0.08,0.735,1.19,3/23/2021
San Bernardino,13,2022,4/5/2022 8:00,0.289,0.015,1.976,0.767,0.044,0.052,0.216,0.281,0.901,0.282,0.108,0.805,2.845,3/29/2022
San Bernardino,14,2015,4/7/2015 8:00,0.463,0.24,1.052,0.408,0.159,0.147,0.504,0.384,1.094,0.394,0.15,1.343,2.129,3/31/2015
San Bernardino,14,2016,4/5/2016 8:00,0.174,0.047,0.819,0.318,0.036,0.04,0.213,0.186,0.634,0.312,0.119,0.44,1.441,3/29/2016
San Bernardino,14,2017,4/11/2017 8:00,0.274,0.046,0.894,0.347,0.054,0.044,0.15,0.301,0.626,0.4,0.153,0.756,1.506,4/4/2017
San Bernardino,14,2018,4/10/2018 8:00,0.316,0.051,1.935,0.751,0.053,0.056,0.225,0.25,0.77,0.207,0.079,0.778,2.675,4/3/2018
San Bernardino,14,2019,4/9/2019 8:00,0.158,0.014,1.133,0.44,0.034,0.031,0.107,0.174,0.503,0.208,0.079,0.431,1.619,4/2/2019
San Bernardino,14,2020,4/7/2020 8:00,0.155,0.109,1.281,0.497,0.041,0.051,0.299,0.183,1.004,0.194,0.074,0.592,2.264,3/31/2020
San Bernardino,14,2021,4/6/2021 8:00,0.328,0.113,0.736,0.286,0.062,0.061,0.259,0.217,0.413,0.198,0.076,0.815,1.138,3/30/2021
San Bernardino,14,2022,4/12/2022 8:00,0.595,0.464,0.748,0.29,0.114,0.141,0.559,0.199,1.07,0.23,0.088,0.866,1.806,4/5/2022
San Bernardino,15,2015,4/14/2015 8:00:00 AM,0.429,0.021,1.744,0.677,0.066,0.082,0.246,0.249,1.012,0.415,0.158,0.709,2.728,4/7/2015
San Bernardino,15,2016,4/12/2016 8:00,0.17,0.024,0.492,0.191,0.033,0.027,0.112,0.162,0.521,0.26,0.099,0.463,1.006,4/5/2016
San Bernardino,15,2017,4/18/2017 8:00:00 AM,0.269,0.024,1.208,0.469,0.056,0.05,0.172,0.257,0.643,0.327,0.125,0.726,1.832,4/11/2017
San Bernardino,15,2018,4/17/2018 8:00:00 AM,0.403,0.152,0.81,0.314,0.062,0.08,0.254,0.199,0.702,0.247,0.094,0.732,1.499,4/10/2018
San Bernardino,15,2019,4/16/2019 8:00:00 AM,0.339,0.076,0.579,0.225,0.067,0.059,0.295,0.173,0.784,0.228,0.087,0.556,1.353,4/9/2019
San Bernardino,15,2020,4/14/2020 8:00:00 AM,0.049,0.016,0.464,0.18,0.016,0.012,0.051,0.135,0.173,0.129,0.049,0.337,0.629,4/7/2020
San Bernardino,15,2021,4/13/2021 8:00:00 AM,0.348,0.055,1.441,0.559,0.065,0.072,0.386,0.226,1.198,0.28,0.107,0.735,2.616,4/6/2021
San Bernardino,15,2022,4/19/2022 8:00:00 AM,0.337,0.079,1.173,0.455,0.061,0.072,0.288,0.251,1.036,0.177,0.068,0.741,2.19,4/12/2022
San Bernardino,16,2015,4/21/2015 8:00:00 AM,0.664,0.072,1.126,0.437,0.104,0.076,0.312,0.305,1.09,0.46,0.176,0.962,2.197,4/14/2015
San Bernardino,16,2016,4/19/2016 8:00:00 AM,0.344,0.07,1.417,0.55,0.057,0.056,0.177,0.271,0.584,0.33,0.126,0.71,1.978,4/12/2016
San Bernardino,16,2017,4/25/2017 8:00:00 AM,0.335,0.068,1.154,0.448,0.067,0.07,0.255,0.308,0.92,0.333,0.127,0.902,2.055,4/18/2017
San Bernardino,16,2018,4/24/2018 8:00:00 AM,0.25,0.056,0.939,0.364,0.051,0.055,0.188,0.163,0.612,0.274,0.105,0.479,1.536,4/17/2018
San Bernardino,16,2019,4/23/2019 8:00:00 AM,0.181,0.027,0.636,0.247,0.036,0.03,0.142,0.16,0.372,0.165,0.063,0.463,0.998,4/16/2019
San Bernardino,16,2020,4/21/2020 8:00:00 AM,0.141,0.021,0.865,0.336,0.033,0.034,0.157,0.267,0.637,0.171,0.065,0.663,1.488,4/14/2020
San Bernardino,16,2021,4/20/2021 8:00:00 AM,0.362,0.219,0.832,0.323,0.076,0.085,0.491,0.281,1.285,0.251,0.096,0.824,2.103,4/13/2021
San Bernardino,16,2022,4/26/2022 8:00:00 AM,0.276,0.094,0.671,0.26,0.056,0.054,0.217,0.212,0.718,0.186,0.071,0.633,1.378,4/19/2022
San Bernardino,17,2015,4/28/2015 8:00:00 AM,0.282,0.025,1.212,0.47,0.054,0.059,0.266,0.355,1.109,0.25,0.095,0.987,2.302,4/21/2015
San Bernardino,17,2016,4/26/2016 8:00:00 AM,0.287,0.351,0.859,0.333,0.059,0.07,0.35,0.213,0.622,0.28,0.107,0.711,1.467,4/19/2016
San Bernardino,17,2017,5/2/2017 8:00,0.334,0.048,0.762,0.296,0.113,0.05,0.144,0.259,0.57,0.35,0.134,0.694,1.32,4/25/2017
San Bernardino,17,2018,5/1/2018 8:00,0.276,0.127,1.663,0.645,0.059,0.072,0.332,0.316,1.11,0.266,0.102,0.975,2.747,4/24/2018
San Bernardino,17,2019,4/30/2019 8:00:00 AM,0.142,0.015,1.108,0.43,0.036,0.029,0.111,0.204,0.384,0.266,0.102,0.525,1.474,4/23/2019
San Bernardino,17,2020,4/28/2020 8:00:00 AM,0.224,0.015,0.827,0.321,0.036,0.034,0.078,0.233,0.29,0.248,0.095,0.629,1.104,4/21/2020
San Bernardino,17,2021,4/27/2021 8:00:00 AM,0.212,0.057,0.717,0.278,0.052,0.057,0.284,0.213,0.818,0.186,0.071,0.707,1.524,4/20/2021
San Bernardino,17,2022,5/3/2022 8:00,0.55,0.136,1.101,0.427,0.109,0.118,0.558,0.375,1.61,0.29,0.111,1.245,2.693,4/26/2022
San Bernardino,18,2015,5/5/2015 8:00,0.313,0.033,1.558,0.605,0.058,0.06,0.278,0.264,0.897,0.391,0.149,0.807,2.43,4/28/2015
San Bernardino,18,2016,5/3/2016 8:00,0.192,0.122,0.646,0.251,0.043,0.068,0.449,0.194,1.194,0.158,0.06,0.649,1.83,4/26/2016
San Bernardino,18,2017,5/9/2017 8:00,0.316,0.206,1.158,0.449,0.058,0.063,0.271,0.217,0.594,0.436,0.166,0.638,1.734,5/2/2017
San Bernardino,18,2018,5/8/2018 8:00,0.145,0.037,0.935,0.363,0.032,0.035,0.171,0.189,0.497,0.225,0.086,0.538,1.417,5/1/2018
San Bernardino,18,2019,5/7/2019 8:00,0.207,0.023,1.193,0.463,0.059,0.062,0.301,0.242,0.99,0.204,0.078,0.721,2.164,4/30/2019
San Bernardino,18,2020,5/5/2020 8:00,0.264,0.031,1.188,0.461,0.058,0.054,0.183,0.293,0.566,0.295,0.113,0.817,1.736,4/28/2020
San Bernardino,18,2021,5/4/2021 8:00,0.238,0.071,0.802,0.311,0.051,0.052,0.172,0.19,0.47,0.237,0.09,0.569,1.26,4/27/2021
San Bernardino,18,2022,5/10/2022 8:00,0.383,0.509,0.993,0.385,0.091,0.124,0.667,0.266,1.301,0.273,0.104,0.954,2.279,5/3/2022
San Bernardino,19,2015,5/12/2015 8:00,0.166,0.108,1.082,0.42,0.047,0.072,0.487,0.297,1.346,0.266,0.102,0.905,2.411,5/5/2015
San Bernardino,19,2016,5/10/2016 8:00,0.132,0.018,0.843,0.327,0.03,0.036,0.195,0.268,0.836,0.272,0.104,0.655,1.665,5/3/2016
San Bernardino,19,2017,5/16/2017 8:00:00 AM,0.248,0.257,1.428,0.554,0.061,0.081,0.447,0.338,1.024,0.368,0.14,1.051,2.429,5/9/2017
San Bernardino,19,2018,5/15/2018 8:00:00 AM,0.256,0.021,1.708,0.663,0.056,0.062,0.272,0.314,1.027,0.367,0.14,0.8,2.708,5/8/2018
San Bernardino,19,2019,5/14/2019 8:00:00 AM,0.197,0.015,1.278,0.496,0.092,0.038,0.133,0.217,0.588,0.19,0.073,0.71,1.846,5/7/2019
San Bernardino,19,2020,5/12/2020 8:00,0.301,0.032,1.339,0.52,0.062,0.054,0.174,0.281,0.535,0.242,0.092,0.822,1.852,5/5/2020
San Bernardino,19,2021,5/11/2021 8:00,0.47,0.103,1.221,0.474,0.103,0.119,0.416,0.32,1.18,0.506,0.193,0.978,2.382,5/4/2021
San Bernardino,19,2022,5/17/2022 8:00:00 AM,0.304,0.137,1.175,0.456,0.065,0.061,0.231,0.229,0.607,0.298,0.114,0.641,1.763,5/10/2022
San Bernardino,20,2015,5/19/2015 8:00:00 AM,0.158,0.029,1.097,0.426,0.04,0.062,0.363,0.436,1.364,0.255,0.097,1.21,2.443,5/12/2015
San Bernardino,20,2016,5/17/2016 8:00:00 AM,0.244,0.014,1.671,0.648,0.042,0.041,0.171,0.333,0.555,0.534,0.204,0.957,2.2,5/10/2016
San Bernardino,20,2017,5/23/2017 8:00:00 AM,0.567,0.076,0.83,0.322,0.076,0.08,0.22,0.247,0.693,0.417,0.159,0.661,1.51,5/16/2017
San Bernardino,20,2018,5/22/2018 8:00:00 AM,0.235,0.014,1.286,0.499,0.045,0.049,0.183,0.257,0.703,0.252,0.096,0.719,1.968,5/15/2018
San Bernardino,20,2019,5/21/2019 8:00:00 AM,0.11,0.222,0.573,0.222,0.039,0.057,0.375,0.169,0.938,0.134,0.051,0.491,1.502,5/14/2019
San Bernardino,20,2020,5/19/2020 8:00:00 AM,0.241,0.06,0.968,0.376,0.056,0.063,0.357,0.25,1.057,0.288,0.11,0.788,2.01,5/12/2020
San Bernardino,20,2021,5/18/2021 8:00:00 AM,0.396,0.027,1.54,0.598,0.074,0.076,0.282,0.359,0.972,0.364,0.139,1.165,2.487,5/11/2021
San Bernardino,20,2022,5/24/2022 8:00:00 AM,0.479,0.067,1.873,0.727,0.077,0.092,0.465,0.313,1.312,0.481,0.184,1.052,3.155,5/17/2022
San Bernardino,21,2015,5/26/2015 8:00:00 AM,0.174,0.015,1.453,0.564,0.038,0.052,0.278,0.392,0.946,0.444,0.169,1.036,2.376,5/19/2015
San Bernardino,21,2016,5/24/2016 8:00:00 AM,0.183,0.378,0.717,0.278,0.056,0.07,0.427,0.22,0.718,0.291,0.111,0.681,1.424,5/17/2016
San Bernardino,21,2017,5/30/2017 8:00:00 AM,0.217,0.025,1.568,0.608,0.056,0.039,0.116,0.273,0.428,0.319,0.122,0.745,1.971,5/23/2017
San Bernardino,21,2018,5/29/2018 8:00:00 AM,0.286,0.027,1.831,0.71,0.059,0.06,0.211,0.292,0.84,0.303,0.116,0.825,2.642,5/22/2018
San Bernardino,21,2019,5/28/2019 8:00:00 AM,0.083,0.09,0.497,0.193,0.032,0.045,0.311,0.135,0.81,0.167,0.064,0.437,1.299,5/21/2019
San Bernardino,21,2020,5/26/2020 8:00:00 AM,0.292,0.107,0.849,0.329,0.061,0.06,0.258,0.202,0.653,0.297,0.113,0.568,1.489,5/19/2020
