model,best_params,cv_r2,holdout_r2,holdout_rmse,holdout_mae
RandomForestRegressor,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 800}",0.4720037334995514,0.6082226106112285,1.0409498027636108,0.8383521205357113
ExtraTreesRegressor,"{'model__bootstrap': False, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",0.613428026300556,0.673912492460736,0.9496797635812064,0.7366888392857158
