State,Year,Avg CO2,Avg NO2,Avg Ozone,Avg PM10,Avg PM2.5,Avg SO2,Smoking Prevalence %,predicted_asthma_prevalence,prediction_lower_95,prediction_upper_95
Alabama,2022,0.2532649421272737,9.266751953386233,0.025872766054545582,17.65174564690915,7.750734944800001,0.7086820000909313,17.332727272727425,15.305399999999912,14.471856903120914,16.138943096878908
Alabama,2023,0.24265825148182074,8.954298609486045,0.025517355472727377,17.496517758363666,7.4844338624182,0.6446100705909146,16.74272727272728,15.385999999999916,14.552456903120918,16.219543096878912
Alabama,2024,0.23205156083636425,8.641845265585744,0.02516194489090917,17.34128986981824,7.218132780036399,0.5805381410909263,16.15272727272736,15.410799999999929,14.577256903120931,16.244343096878925
Alabama,2025,0.2214448701909113,8.329391921685556,0.024806534309090966,17.186061981272815,6.9518316976545975,0.5164662115909096,15.562727272727216,15.410599999999937,14.577056903120939,16.244143096878933
Alabama,2026,0.2108381795454548,8.016938577785368,0.024451123727272872,17.030834092727332,6.685530615272796,0.45239428209092125,14.972727272727298,15.366799999999936,14.533256903120938,16.20034309687893
Alaska,2022,0.31171337074545136,9.631319711891592,0.026410513599999907,11.698090144727303,6.941361299127294,3.767267536418103,16.729090909091042,14.147400000000014,13.313856903121016,14.980943096879011
Alaska,2023,0.2805130673545406,9.21319061945917,0.026736565790908995,11.160189456727494,7.061512285572775,3.370310522699924,16.235454545454672,14.182000000000007,13.34845690312101,15.015543096879005
Alaska,2024,0.2493127639636299,8.795061527026746,0.027062617981818082,10.622288768727458,7.181663272018227,2.9733535089816314,15.741818181818303,14.214600000000008,13.38105690312101,15.048143096879006
Alaska,2025,0.21811246057271916,8.376932434594323,0.02738867017272717,10.084388080727422,7.301814258463679,2.5763964952634524,15.248181818181934,14.21420000000001,13.380656903121013,15.047743096879008
Alaska,2026,0.18691215718180842,7.9588033421619,0.027714722363636257,9.546487392727386,7.42196524490916,2.1794394815452733,14.754545454545564,14.229200000000011,13.395656903121013,15.062743096879009
Arizona,2022,0.3006028278363644,12.72184844045455,0.037283077709090895,28.11568127290934,7.585881683109079,0.8656550074546203,12.349090909091046,15.119400000000041,14.285856903121044,15.95294309687904
Arizona,2023,0.29188883130909105,12.391616001818193,0.03735788619090907,27.285736563545697,7.510224933581782,0.6522286555000392,11.852727272727407,15.121200000000036,14.287656903121038,15.954743096879033
Arizona,2024,0.28317483478182126,12.061383563181835,0.03743269467272725,26.455791854182053,7.434568184054513,0.43880230354551486,11.356363636363767,15.129600000000037,14.29605690312104,15.963143096879035
Arizona,2025,0.2744608382545479,11.731151124545477,0.03750750315454543,25.625847144818408,7.3589114345272435,0.2253759515909337,10.860000000000127,15.125000000000034,14.291456903121036,15.958543096879032
Arizona,2026,0.2657468417272746,11.400918685909119,0.037582311636363636,24.795902435454764,7.283254684999974,0.011949599636409403,10.363636363636488,15.13820000000003,14.304656903121032,15.971743096879027
Arkansas,2022,0.26394550303636777,6.350032945867383,0.02843295570909088,14.8474053625456,7.889385121745477,0.29289373750907544,19.561818181818126,13.570800000000014,12.737256903121017,14.404343096879012
Arkansas,2023,0.24915157566364243,6.053768830136278,0.028134348418181743,14.375178135545525,7.649614518218186,0.16850188733636173,18.914545454545305,13.706000000000014,12.872456903121016,14.539543096879012
Arkansas,2024,0.23435764829091354,5.757504714405286,0.027835741127272717,13.902950908545563,7.409843914690896,0.04411003716361961,18.267272727272484,13.74040000000001,12.906856903121012,14.573943096879008
Arkansas,2025,0.21956372091818466,5.4612405986741805,0.02753713383636358,13.430723681545487,7.170073311163662,0.0,17.61999999999989,13.822200000000002,12.988656903121004,14.655743096879
Arkansas,2026,0.20476979354545932,5.164976482943189,0.027238526545454445,12.958496454545525,6.930302707636372,0.0,16.97272727272707,13.874999999999998,13.041456903121,14.708543096878996
California,2022,0.32127218756363707,9.097061535306807,0.032858690818181796,28.32255989054528,10.332562542854518,0.3904563012727351,8.567272727272666,14.33829999999997,13.504756903120972,15.171843096878968
California,2023,0.31888897621818213,8.958388228727301,0.03291159545454543,28.57168139427256,10.395301324936327,0.366287753863638,8.107272727272743,14.391299999999974,13.557756903120977,15.224843096878972
California,2024,0.3165057648727272,8.819714922147739,0.032964500090909066,28.82080289799984,10.45804010701815,0.34211920645454796,7.647272727272707,14.435899999999974,13.602356903120976,15.269443096878971
California,2025,0.31412255352727314,8.681041615568176,0.0330174047272727,29.069924401727064,10.520778889099972,0.31795065904545794,7.187272727272671,14.454899999999977,13.62135690312098,15.288443096878975
California,2026,0.3117393421818182,8.542368308988614,0.033070309363636335,29.319045905454345,10.58351767118178,0.2937821116363679,6.727272727272634,14.49849999999998,13.664956903120983,15.332043096878978
Colorado,2022,0.29836256821818274,9.763544663285955,0.039777869800000004,20.144775836909076,7.758717964454547,0.6835594427454339,11.489090909090919,14.179600000000017,13.346056903121019,15.013143096879014
Colorado,2023,0.2934081317090911,9.847484653977261,0.039787532190909095,20.031324975636323,7.829369610499981,0.6010554630817921,10.86454545454535,14.165400000000012,13.331856903121015,14.99894309687901
Colorado,2024,0.2884536951999994,9.931424644668539,0.03979719458181818,19.9178741143636,7.900021256545443,0.5185514834181788,10.239999999999782,14.179600000000008,13.34605690312101,15.013143096879006
Colorado,2025,0.28349925869090953,10.015364635359816,0.03980685697272727,19.804423253090874,7.9706729025909056,0.43604750375453705,9.61545454545444,14.222200000000003,13.388656903121005,15.055743096879
Colorado,2026,0.27854482218181786,10.099304626051122,0.03981651936363636,19.69097239181812,8.041324548636368,0.3535435240908953,8.990909090908872,14.2582,13.424656903121003,15.091743096878998
