Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
Ozone,2021-01-01,17,100.0,0.011118,0.024,9,22,California,Alameda
Ozone,2021-01-02,17,100.0,0.008059,0.013,9,12,California,Alameda
Ozone,2021-01-03,17,100.0,0.008118,0.018,8,17,California,Alameda
Ozone,2021-01-04,17,100.0,0.021706,0.034,10,31,California,Alameda
Ozone,2021-01-05,17,100.0,0.014824,0.027,11,25,California,Alameda
Ozone,2021-01-06,17,100.0,0.007176,0.016,10,15,California,Alameda
Ozone,2021-01-07,17,100.0,0.013118,0.026,8,24,California,Alameda
Ozone,2021-01-08,17,100.0,0.015059,0.022,10,20,California,Alameda
Ozone,2021-01-09,17,100.0,0.015,0.034,9,31,California,Alameda
Ozone,2021-01-10,17,100.0,0.008235,0.015,12,14,California,Alameda
Ozone,2021-01-11,17,100.0,0.011706,0.023,11,21,California,Alameda
Ozone,2021-01-12,17,100.0,0.005588,0.013,10,12,California,Alameda
Ozone,2021-01-13,17,100.0,0.02,0.024,11,22,California,Alameda
Ozone,2021-01-14,17,100.0,0.012235,0.027,9,25,California,Alameda
Ozone,2021-01-15,17,100.0,0.013353,0.024,12,22,California,Alameda
Ozone,2021-01-16,17,100.0,0.015294,0.029,10,27,California,Alameda
Ozone,2021-01-17,17,100.0,0.024412,0.033,9,31,California,Alameda
Ozone,2021-01-18,17,100.0,0.037765,0.039,9,36,California,Alameda
Ozone,2021-01-19,11,65.0,0.021,0.032,13,30,California,Alameda
Ozone,2021-01-20,7,41.0,0.001143,0.003,17,3,California,Alameda
Ozone,2021-01-21,17,100.0,0.019706,0.025,11,23,California,Alameda
Ozone,2021-01-22,17,100.0,0.016,0.033,8,31,California,Alameda
Ozone,2021-01-23,17,100.0,0.016882,0.032,10,30,California,Alameda
Ozone,2021-01-24,17,100.0,0.032588,0.035,11,32,California,Alameda
Ozone,2021-01-25,17,100.0,0.029824,0.036,10,33,California,Alameda
Ozone,2021-01-26,17,100.0,0.034353,0.036,10,33,California,Alameda
Ozone,2021-01-27,17,100.0,0.030941,0.035,12,32,California,Alameda
Ozone,2021-01-28,17,100.0,0.024706,0.031,10,29,California,Alameda
Ozone,2021-01-29,17,100.0,0.017706,0.035,9,32,California,Alameda
Ozone,2021-01-30,17,100.0,0.016647,0.031,11,29,California,Alameda
Ozone,2021-01-31,17,100.0,0.017647,0.032,10,30,California,Alameda
Ozone,2021-02-01,17,100.0,0.031235,0.037,11,34,California,Alameda
Ozone,2021-02-02,17,100.0,0.027824,0.035,11,32,California,Alameda
Ozone,2021-02-03,17,100.0,0.026529,0.037,10,34,California,Alameda
Ozone,2021-02-04,17,100.0,0.031176,0.043,9,40,California,Alameda
Ozone,2021-02-05,17,100.0,0.017235,0.035,10,32,California,Alameda
Ozone,2021-02-06,17,100.0,0.018529,0.038,10,35,California,Alameda
Ozone,2021-02-07,17,100.0,0.019647,0.042,11,39,California,Alameda
Ozone,2021-02-08,17,100.0,0.015118,0.024,10,22,California,Alameda
Ozone,2021-02-09,17,100.0,0.016176,0.024,10,22,California,Alameda
Ozone,2021-02-10,17,100.0,0.023412,0.035,10,32,California,Alameda
Ozone,2021-02-11,17,100.0,0.025412,0.034,22,31,California,Alameda
Ozone,2021-02-12,17,100.0,0.032706,0.035,9,32,California,Alameda
Ozone,2021-02-13,17,100.0,0.032941,0.04,9,37,California,Alameda
Ozone,2021-02-14,17,100.0,0.030176,0.035,10,32,California,Alameda
Ozone,2021-02-15,17,100.0,0.031235,0.034,13,31,California,Alameda
Ozone,2021-02-16,17,100.0,0.021294,0.032,11,30,California,Alameda
Ozone,2021-02-17,17,100.0,0.027824,0.04,10,37,California,Alameda
Ozone,2021-02-18,17,100.0,0.021941,0.035,10,32,California,Alameda
Ozone,2021-02-19,17,100.0,0.029882,0.037,21,34,California,Alameda
Ozone,2021-02-20,17,100.0,0.022176,0.039,9,36,California,Alameda
Ozone,2021-02-21,17,100.0,0.024765,0.037,10,34,California,Alameda
Ozone,2021-02-22,17,100.0,0.019529,0.039,10,36,California,Alameda
Ozone,2021-02-23,12,71.0,0.016083,0.036,12,33,California,Alameda
Ozone,2021-02-24,17,100.0,0.042176,0.044,12,41,California,Alameda
Ozone,2021-02-25,17,100.0,0.024118,0.042,9,39,California,Alameda
Ozone,2021-02-26,17,100.0,0.029412,0.036,14,33,California,Alameda
Ozone,2021-02-27,17,100.0,0.027471,0.041,10,38,California,Alameda
Ozone,2021-02-28,14,82.0,0.027,0.039,9,36,California,Alameda
Ozone,2021-03-01,17,100.0,0.026,0.048,11,44,California,Alameda
Ozone,2021-03-02,17,100.0,0.022882,0.045,10,42,California,Alameda
Ozone,2021-03-03,17,100.0,0.032765,0.04,12,37,California,Alameda
Ozone,2021-03-04,17,100.0,0.025412,0.042,10,39,California,Alameda
Ozone,2021-03-05,17,100.0,0.038706,0.043,10,40,California,Alameda
Ozone,2021-03-06,17,100.0,0.033588,0.042,8,39,California,Alameda
Ozone,2021-03-07,17,100.0,0.034529,0.037,22,34,California,Alameda
Ozone,2021-03-08,17,100.0,0.033471,0.045,9,42,California,Alameda
Ozone,2021-03-09,17,100.0,0.037353,0.041,10,38,California,Alameda
Ozone,2021-03-10,17,100.0,0.034529,0.042,9,39,California,Alameda
Ozone,2021-03-11,17,100.0,0.029235,0.043,10,40,California,Alameda
Ozone,2021-03-12,17,100.0,0.024529,0.039,10,36,California,Alameda
Ozone,2021-03-13,17,100.0,0.039471,0.042,11,39,California,Alameda
Ozone,2021-03-14,17,100.0,0.039118,0.043,7,40,California,Alameda
Ozone,2021-03-15,12,71.0,0.01475,0.038,7,35,California,Alameda
Ozone,2021-03-16,17,100.0,0.027059,0.037,11,34,California,Alameda
Ozone,2021-03-17,17,100.0,0.030765,0.034,10,31,California,Alameda
Ozone,2021-03-18,17,100.0,0.025059,0.031,11,29,California,Alameda
Ozone,2021-03-19,17,100.0,0.034353,0.04,11,37,California,Alameda
Ozone,2021-03-20,17,100.0,0.030353,0.042,8,39,California,Alameda
Ozone,2021-03-21,17,100.0,0.028941,0.039,11,36,California,Alameda
Ozone,2021-03-22,17,100.0,0.035706,0.041,11,38,California,Alameda
Ozone,2021-03-23,17,100.0,0.040412,0.044,10,41,California,Alameda
Ozone,2021-03-24,17,100.0,0.038941,0.045,9,42,California,Alameda
Ozone,2021-03-25,17,100.0,0.030471,0.041,10,38,California,Alameda
Ozone,2021-03-26,17,100.0,0.026941,0.043,10,40,California,Alameda
Ozone,2021-03-27,17,100.0,0.030529,0.048,10,44,California,Alameda
Ozone,2021-03-28,17,100.0,0.035059,0.049,10,45,California,Alameda
Ozone,2021-03-29,17,100.0,0.042588,0.046,21,43,California,Alameda
Ozone,2021-03-30,17,100.0,0.035941,0.046,9,43,California,Alameda
Ozone,2021-03-31,17,100.0,0.033824,0.053,11,49,California,Alameda
Ozone,2021-04-01,17,100.0,0.044059,0.065,11,84,California,Alameda
Ozone,2021-04-02,17,100.0,0.042765,0.052,10,48,California,Alameda
Ozone,2021-04-03,17,100.0,0.043882,0.047,9,44,California,Alameda
Ozone,2021-04-04,17,100.0,0.040353,0.045,7,42,California,Alameda
Ozone,2021-04-05,17,100.0,0.034941,0.04,7,37,California,Alameda
Ozone,2021-04-06,17,100.0,0.038235,0.042,9,39,California,Alameda
Ozone,2021-04-07,17,100.0,0.040706,0.045,9,42,California,Alameda
Ozone,2021-04-08,17,100.0,0.036529,0.042,10,39,California,Alameda
Ozone,2021-04-09,17,100.0,0.041176,0.042,8,39,California,Alameda
Ozone,2021-04-10,17,100.0,0.039294,0.047,10,44,California,Alameda
Ozone,2021-04-11,17,100.0,0.036647,0.047,10,44,California,Alameda
Ozone,2021-04-12,17,100.0,0.038824,0.049,10,45,California,Alameda
Ozone,2021-04-13,17,100.0,0.042059,0.046,10,43,California,Alameda
Ozone,2021-04-14,17,100.0,0.036882,0.047,10,44,California,Alameda
Ozone,2021-04-15,17,100.0,0.040412,0.049,10,45,California,Alameda
Ozone,2021-04-16,17,100.0,0.038059,0.047,10,44,California,Alameda
Ozone,2021-04-17,17,100.0,0.030882,0.046,9,43,California,Alameda
Ozone,2021-04-18,17,100.0,0.040235,0.051,10,47,California,Alameda
Ozone,2021-04-19,17,100.0,0.036588,0.045,10,42,California,Alameda
Ozone,2021-04-20,17,100.0,0.030353,0.033,10,31,California,Alameda
Ozone,2021-04-21,17,100.0,0.034882,0.039,9,36,California,Alameda
Ozone,2021-04-22,17,100.0,0.036529,0.038,10,35,California,Alameda
Ozone,2021-04-23,17,100.0,0.038,0.041,10,38,California,Alameda
Ozone,2021-04-24,17,100.0,0.038235,0.043,9,40,California,Alameda
Ozone,2021-04-25,17,100.0,0.033412,0.04,7,37,California,Alameda
Ozone,2021-04-26,17,100.0,0.034059,0.042,11,39,California,Alameda
Ozone,2021-04-27,17,100.0,0.026529,0.04,10,37,California,Alameda
Ozone,2021-04-28,17,100.0,0.036588,0.052,10,48,California,Alameda
Ozone,2021-04-29,17,100.0,0.032,0.043,9,40,California,Alameda
Ozone,2021-04-30,17,100.0,0.027353,0.037,8,34,California,Alameda
Ozone,2021-05-01,17,100.0,0.029412,0.032,17,30,California,Alameda
Ozone,2021-05-02,17,100.0,0.028706,0.04,9,37,California,Alameda
Ozone,2021-05-03,17,100.0,0.033765,0.052,10,48,California,Alameda
Ozone,2021-05-04,17,100.0,0.032118,0.05,10,46,California,Alameda
Ozone,2021-05-05,17,100.0,0.037765,0.053,10,49,California,Alameda
Ozone,2021-05-06,17,100.0,0.034176,0.038,7,35,California,Alameda
Ozone,2021-05-07,17,100.0,0.032294,0.045,8,42,California,Alameda
Ozone,2021-05-08,17,100.0,0.035647,0.052,10,48,California,Alameda
Ozone,2021-05-09,17,100.0,0.031,0.04,9,37,California,Alameda
Ozone,2021-05-10,17,100.0,0.032118,0.046,10,43,California,Alameda
Ozone,2021-05-11,17,100.0,0.042412,0.059,10,64,California,Alameda
Ozone,2021-05-12,17,100.0,0.040941,0.056,10,54,California,Alameda
