Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
PM2.5 - Local Conditions,2020-01-01,24,100.0,8.625,32.0,0,,California,Alameda
PM2.5 - Local Conditions,2020-01-02,23,96.0,4.565217,13.0,22,,California,Alameda
PM2.5 - Local Conditions,2020-01-03,24,100.0,14.208333,35.0,20,,California,Alameda
PM2.5 - Local Conditions,2020-01-04,24,100.0,10.916667,20.0,1,,California,Alameda
PM2.5 - Local Conditions,2020-01-05,24,100.0,7.833333,18.0,20,,California,Alameda
PM2.5 - Local Conditions,2020-01-06,24,100.0,6.291667,15.0,7,,California,Alameda
PM2.5 - Local Conditions,2020-01-07,23,96.0,6.913043,13.0,1,,California,Alameda
PM2.5 - Local Conditions,2020-01-08,24,100.0,3.083333,6.0,11,,California,Alameda
PM2.5 - Local Conditions,2020-01-09,24,100.0,6.083333,18.0,22,,California,Alameda
PM2.5 - Local Conditions,2020-01-10,24,100.0,5.5,13.0,19,,California,Alameda
PM2.5 - Local Conditions,2020-01-11,24,100.0,5.916667,19.0,21,,California,Alameda
PM2.5 - Local Conditions,2020-01-12,24,100.0,5.833333,10.0,21,,California,Alameda
PM2.5 - Local Conditions,2020-01-13,23,96.0,2.913043,9.0,9,,California,Alameda
PM2.5 - Local Conditions,2020-01-14,24,100.0,4.75,13.0,22,,California,Alameda
PM2.5 - Local Conditions,2020-01-15,24,100.0,5.75,13.0,21,,California,Alameda
PM2.5 - Local Conditions,2020-01-16,24,100.0,2.125,5.0,18,,California,Alameda
PM2.5 - Local Conditions,2020-01-17,24,100.0,5.791667,16.0,23,,California,Alameda
PM2.5 - Local Conditions,2020-01-18,24,100.0,5.875,9.0,0,,California,Alameda
PM2.5 - Local Conditions,2020-01-19,24,100.0,8.958333,16.0,19,,California,Alameda
PM2.5 - Local Conditions,2020-01-20,24,100.0,16.083333,23.0,22,,California,Alameda
PM2.5 - Local Conditions,2020-01-21,23,96.0,2.695652,5.0,0,,California,Alameda
PM2.5 - Local Conditions,2020-01-22,24,100.0,3.791667,14.0,22,,California,Alameda
PM2.5 - Local Conditions,2020-01-23,24,100.0,7.458333,18.0,20,,California,Alameda
PM2.5 - Local Conditions,2020-01-24,24,100.0,8.166667,14.0,22,,California,Alameda
PM2.5 - Local Conditions,2020-01-25,24,100.0,7.208333,14.0,16,,California,Alameda
PM2.5 - Local Conditions,2020-01-26,24,100.0,3.291667,7.0,23,,California,Alameda
PM2.5 - Local Conditions,2020-01-27,23,96.0,3.565217,8.0,18,,California,Alameda
PM2.5 - Local Conditions,2020-01-28,24,100.0,3.708333,9.0,20,,California,Alameda
PM2.5 - Local Conditions,2020-01-29,23,96.0,6.130435,11.0,22,,California,Alameda
PM2.5 - Local Conditions,2020-01-30,24,100.0,6.875,16.0,19,,California,Alameda
PM2.5 - Local Conditions,2020-01-31,24,100.0,10.708333,21.0,21,,California,Alameda
PM2.5 - Local Conditions,2020-02-01,24,100.0,14.625,30.0,19,,California,Alameda
PM2.5 - Local Conditions,2020-02-02,24,100.0,6.333333,19.0,1,,California,Alameda
PM2.5 - Local Conditions,2020-02-03,23,96.0,2.391304,5.0,7,,California,Alameda
PM2.5 - Local Conditions,2020-02-04,24,100.0,2.041667,9.0,23,,California,Alameda
PM2.5 - Local Conditions,2020-02-05,24,100.0,5.375,15.0,23,,California,Alameda
PM2.5 - Local Conditions,2020-02-06,24,100.0,8.375,19.0,20,,California,Alameda
PM2.5 - Local Conditions,2020-02-07,24,100.0,12.458333,23.0,21,,California,Alameda
PM2.5 - Local Conditions,2020-02-08,24,100.0,10.083333,20.0,23,,California,Alameda
PM2.5 - Local Conditions,2020-02-09,24,100.0,1.125,8.0,0,,California,Alameda
PM2.5 - Local Conditions,2020-02-10,23,96.0,1.73913,6.0,3,,California,Alameda
