Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
PM2.5 - Local Conditions,2017-01-01,24,100.0,5.708333,10.0,3,,California,Alameda
PM2.5 - Local Conditions,2017-01-02,24,100.0,4.5,18.0,20,,California,Alameda
PM2.5 - Local Conditions,2017-01-03,24,100.0,2.291667,8.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-01-04,24,100.0,3.583333,9.0,19,,California,Alameda
PM2.5 - Local Conditions,2017-01-05,23,96.0,4.826087,16.0,23,,California,Alameda
PM2.5 - Local Conditions,2017-01-06,24,100.0,3.833333,8.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-01-07,24,100.0,7.0,14.0,4,,California,Alameda
PM2.5 - Local Conditions,2017-01-08,24,100.0,0.458333,3.0,1,,California,Alameda
PM2.5 - Local Conditions,2017-01-09,23,96.0,1.652174,4.0,9,,California,Alameda
PM2.5 - Local Conditions,2017-01-10,24,100.0,0.958333,4.0,20,,California,Alameda
PM2.5 - Local Conditions,2017-01-11,24,100.0,6.291667,11.0,19,,California,Alameda
PM2.5 - Local Conditions,2017-01-12,24,100.0,5.041667,14.0,21,,California,Alameda
PM2.5 - Local Conditions,2017-01-13,24,100.0,6.541667,14.0,20,,California,Alameda
PM2.5 - Local Conditions,2017-01-14,24,100.0,10.833333,46.0,23,,California,Alameda
PM2.5 - Local Conditions,2017-01-15,24,100.0,18.833333,51.0,22,,California,Alameda
PM2.5 - Local Conditions,2017-01-16,24,100.0,18.708333,41.0,23,,California,Alameda
PM2.5 - Local Conditions,2017-01-17,24,100.0,22.75,33.0,19,,California,Alameda
PM2.5 - Local Conditions,2017-01-18,23,96.0,12.0,29.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-01-19,24,100.0,3.625,16.0,9,,California,Alameda
PM2.5 - Local Conditions,2017-01-20,24,100.0,2.666667,5.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-01-21,24,100.0,4.666667,7.0,3,,California,Alameda
PM2.5 - Local Conditions,2017-01-22,24,100.0,1.791667,7.0,21,,California,Alameda
PM2.5 - Local Conditions,2017-01-23,22,92.0,2.681818,9.0,23,,California,Alameda
PM2.5 - Local Conditions,2017-01-24,24,100.0,8.166667,23.0,22,,California,Alameda
PM2.5 - Local Conditions,2017-01-25,24,100.0,9.541667,28.0,6,,California,Alameda
PM2.5 - Local Conditions,2017-01-26,23,96.0,7.043478,12.0,2,,California,Alameda
PM2.5 - Local Conditions,2017-01-27,24,100.0,7.416667,23.0,21,,California,Alameda
PM2.5 - Local Conditions,2017-01-28,24,100.0,13.666667,36.0,23,,California,Alameda
PM2.5 - Local Conditions,2017-01-29,24,100.0,14.791667,34.0,23,,California,Alameda
PM2.5 - Local Conditions,2017-01-30,23,96.0,17.391304,35.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-01-31,24,100.0,22.75,40.0,22,,California,Alameda
PM2.5 - Local Conditions,2017-02-01,24,100.0,26.916667,38.0,22,,California,Alameda
PM2.5 - Local Conditions,2017-02-02,24,100.0,6.833333,31.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-02-03,24,100.0,2.791667,8.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-02-04,24,100.0,2.875,16.0,20,,California,Alameda
PM2.5 - Local Conditions,2017-02-05,24,100.0,3.833333,8.0,1,,California,Alameda
PM2.5 - Local Conditions,2017-02-06,24,100.0,2.125,10.0,20,,California,Alameda
PM2.5 - Local Conditions,2017-02-07,23,96.0,2.826087,11.0,23,,California,Alameda
PM2.5 - Local Conditions,2017-02-08,24,100.0,1.75,9.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-02-09,24,100.0,-0.041667,3.0,7,,California,Alameda
PM2.5 - Local Conditions,2017-02-10,24,100.0,2.833333,16.0,21,,California,Alameda
PM2.5 - Local Conditions,2017-02-11,24,100.0,5.208333,22.0,0,,California,Alameda
PM2.5 - Local Conditions,2017-02-12,24,100.0,5.041667,17.0,23,,California,Alameda
PM2.5 - Local Conditions,2017-02-13,24,100.0,8.0,12.0,19,,California,Alameda
