Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
PM2.5 - Local Conditions,2022-01-01,24,100.0,12.791667,32.0,20,,California,Alameda
PM2.5 - Local Conditions,2022-01-02,24,100.0,13.958333,25.0,20,,California,Alameda
PM2.5 - Local Conditions,2022-01-03,23,96.0,7.173913,17.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-01-04,24,100.0,3.75,8.0,7,,California,Alameda
PM2.5 - Local Conditions,2022-01-05,24,100.0,4.291667,9.0,21,,California,Alameda
PM2.5 - Local Conditions,2022-01-06,24,100.0,3.833333,8.0,17,,California,Alameda
PM2.5 - Local Conditions,2022-01-07,24,100.0,2.333333,5.0,1,,California,Alameda
PM2.5 - Local Conditions,2022-01-08,24,100.0,6.958333,26.0,19,,California,Alameda
PM2.5 - Local Conditions,2022-01-09,24,100.0,13.666667,33.0,20,,California,Alameda
PM2.5 - Local Conditions,2022-01-10,24,100.0,11.291667,27.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-01-11,24,100.0,9.291667,20.0,23,,California,Alameda
PM2.5 - Local Conditions,2022-01-12,24,100.0,16.083333,30.0,19,,California,Alameda
PM2.5 - Local Conditions,2022-01-13,24,100.0,19.5,37.0,19,,California,Alameda
PM2.5 - Local Conditions,2022-01-14,24,100.0,8.375,23.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-01-15,24,100.0,10.0,23.0,20,,California,Alameda
PM2.5 - Local Conditions,2022-01-16,24,100.0,24.0,77.0,11,,California,Alameda
PM2.5 - Local Conditions,2022-01-17,24,100.0,18.416667,34.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-01-18,24,100.0,11.833333,16.0,21,,California,Alameda
PM2.5 - Local Conditions,2022-01-19,24,100.0,8.458333,14.0,19,,California,Alameda
PM2.5 - Local Conditions,2022-01-20,24,100.0,12.791667,24.0,19,,California,Alameda
PM2.5 - Local Conditions,2022-01-21,24,100.0,5.083333,18.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-01-22,24,100.0,6.416667,21.0,21,,California,Alameda
PM2.5 - Local Conditions,2022-01-23,24,100.0,13.791667,22.0,19,,California,Alameda
PM2.5 - Local Conditions,2022-01-24,24,100.0,13.125,20.0,18,,California,Alameda
PM2.5 - Local Conditions,2022-01-25,24,100.0,10.583333,20.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-01-26,24,100.0,18.041667,34.0,19,,California,Alameda
PM2.5 - Local Conditions,2022-01-27,22,92.0,12.727273,23.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-01-28,24,100.0,17.291667,29.0,19,,California,Alameda
PM2.5 - Local Conditions,2022-01-29,24,100.0,17.791667,27.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-01-30,24,100.0,14.375,24.0,17,,California,Alameda
PM2.5 - Local Conditions,2022-01-31,24,100.0,15.0,24.0,22,,California,Alameda
PM2.5 - Local Conditions,2022-02-01,24,100.0,7.125,17.0,2,,California,Alameda
PM2.5 - Local Conditions,2022-02-02,23,96.0,2.347826,5.0,21,,California,Alameda
PM2.5 - Local Conditions,2022-02-03,24,100.0,6.791667,13.0,20,,California,Alameda
PM2.5 - Local Conditions,2022-02-04,24,100.0,20.041667,36.0,20,,California,Alameda
PM2.5 - Local Conditions,2022-02-05,24,100.0,16.833333,29.0,8,,California,Alameda
PM2.5 - Local Conditions,2022-02-06,24,100.0,11.125,16.0,1,,California,Alameda
PM2.5 - Local Conditions,2022-02-07,23,96.0,14.73913,24.0,18,,California,Alameda
PM2.5 - Local Conditions,2022-02-08,24,100.0,10.291667,20.0,8,,California,Alameda
PM2.5 - Local Conditions,2022-02-09,24,100.0,7.666667,16.0,8,,California,Alameda
PM2.5 - Local Conditions,2022-02-10,24,100.0,4.916667,11.0,0,,California,Alameda
PM2.5 - Local Conditions,2022-02-11,24,100.0,11.208333,19.0,18,,California,Alameda
PM2.5 - Local Conditions,2022-02-12,24,100.0,18.75,39.0,20,,California,Alameda
PM2.5 - Local Conditions,2022-02-13,24,100.0,15.291667,27.0,2,,California,Alameda
PM2.5 - Local Conditions,2022-02-14,24,100.0,9.208333,17.0,7,,California,Alameda
PM2.5 - Local Conditions,2022-02-15,24,100.0,2.0,5.0,7,,California,Alameda
PM2.5 - Local Conditions,2022-02-16,23,96.0,1.956522,5.0,2,,California,Alameda
