Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
PM2.5 - Local Conditions,2016-01-01,24,100.0,9.916667,36.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-01-02,24,100.0,12.958333,25.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-01-03,24,100.0,22.375,41.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-01-04,24,100.0,17.083333,32.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-01-05,24,100.0,5.041667,9.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-01-06,24,100.0,4.0,14.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-01-07,23,96.0,9.521739,19.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-01-08,24,100.0,10.666667,23.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-01-09,24,100.0,9.708333,30.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-01-10,24,100.0,10.666667,25.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-01-11,23,96.0,12.434783,20.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-01-12,24,100.0,14.25,22.0,2,,California,Alameda
PM2.5 - Local Conditions,2016-01-13,24,100.0,6.333333,11.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-01-14,24,100.0,6.125,12.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-01-15,24,100.0,6.5,13.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-01-16,24,100.0,6.958333,20.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-01-17,24,100.0,5.291667,12.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-01-18,24,100.0,6.125,21.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-01-19,24,100.0,6.416667,13.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-01-20,23,96.0,6.173913,20.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-01-21,24,100.0,7.791667,21.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-01-22,24,100.0,3.375,8.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-01-23,24,100.0,6.083333,9.0,9,,California,Alameda
PM2.5 - Local Conditions,2016-01-24,24,100.0,5.291667,9.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-01-25,24,100.0,6.708333,21.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-01-26,21,88.0,9.285714,17.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-01-27,24,100.0,11.375,23.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-01-28,24,100.0,9.916667,16.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-01-29,24,100.0,5.916667,12.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-01-30,24,100.0,4.625,8.0,16,,California,Alameda
PM2.5 - Local Conditions,2016-01-31,24,100.0,4.208333,7.0,2,,California,Alameda
PM2.5 - Local Conditions,2016-02-01,24,100.0,4.958333,19.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-02-02,24,100.0,6.458333,16.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-02-03,24,100.0,11.041667,21.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-02-04,23,96.0,10.0,20.0,4,,California,Alameda
PM2.5 - Local Conditions,2016-02-05,24,100.0,13.625,28.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-02-06,24,100.0,14.291667,27.0,4,,California,Alameda
PM2.5 - Local Conditions,2016-02-07,24,100.0,7.166667,17.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-02-08,24,100.0,8.083333,13.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-02-09,24,100.0,15.333333,27.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-02-10,23,96.0,14.0,21.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-02-11,24,100.0,12.25,22.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-02-12,24,100.0,14.833333,24.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-02-13,24,100.0,7.958333,19.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-02-14,24,100.0,7.5,13.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-02-15,24,100.0,3.5,9.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-02-16,24,100.0,12.583333,28.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-02-17,23,96.0,7.782609,20.0,3,,California,Alameda
PM2.5 - Local Conditions,2016-02-18,24,100.0,4.583333,9.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-02-19,24,100.0,4.708333,8.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-02-20,24,100.0,7.416667,20.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-02-21,24,100.0,6.208333,10.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-02-22,24,100.0,5.25,9.0,5,,California,Alameda
PM2.5 - Local Conditions,2016-02-23,23,96.0,4.391304,10.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-02-24,24,100.0,11.916667,25.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-02-25,24,100.0,14.125,23.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-02-26,24,100.0,10.541667,23.0,6,,California,Alameda
PM2.5 - Local Conditions,2016-02-27,24,100.0,5.625,16.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-02-28,24,100.0,7.625,19.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-02-29,23,96.0,4.26087,9.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-03-01,24,100.0,4.708333,16.0,10,,California,Alameda
PM2.5 - Local Conditions,2016-03-02,24,100.0,4.625,9.0,10,,California,Alameda
PM2.5 - Local Conditions,2016-03-03,24,100.0,4.416667,10.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-03-04,24,100.0,4.708333,8.0,5,,California,Alameda
PM2.5 - Local Conditions,2016-03-05,24,100.0,2.083333,18.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-03-06,24,100.0,5.25,10.0,4,,California,Alameda
PM2.5 - Local Conditions,2016-03-07,24,100.0,4.0,10.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-03-08,23,96.0,5.130435,8.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-03-09,24,100.0,3.458333,7.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-03-10,24,100.0,5.416667,11.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-03-11,24,100.0,4.125,7.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-03-12,24,100.0,3.833333,9.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-03-13,24,100.0,3.75,10.0,16,,California,Alameda
PM2.5 - Local Conditions,2016-03-14,24,100.0,5.958333,10.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-03-15,24,100.0,4.291667,8.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-03-16,23,96.0,4.608696,10.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-03-17,24,100.0,5.791667,11.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-03-18,24,100.0,7.083333,10.0,15,,California,Alameda
PM2.5 - Local Conditions,2016-03-19,24,100.0,5.208333,8.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-03-20,24,100.0,2.458333,6.0,3,,California,Alameda
PM2.5 - Local Conditions,2016-03-21,24,100.0,5.208333,10.0,13,,California,Alameda
PM2.5 - Local Conditions,2016-03-22,23,96.0,4.913043,9.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-03-23,24,100.0,3.541667,8.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-03-24,24,100.0,5.875,10.0,10,,California,Alameda
PM2.5 - Local Conditions,2016-03-25,24,100.0,7.458333,15.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-03-26,24,100.0,6.583333,10.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-03-27,24,100.0,5.125,11.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-03-28,24,100.0,4.291667,9.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-03-29,23,96.0,3.782609,6.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-03-30,24,100.0,6.916667,12.0,16,,California,Alameda
PM2.5 - Local Conditions,2016-03-31,24,100.0,6.416667,11.0,13,,California,Alameda
PM2.5 - Local Conditions,2016-04-01,24,100.0,6.75,10.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-04-02,24,100.0,7.875,12.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-04-03,24,100.0,8.541667,13.0,4,,California,Alameda
PM2.5 - Local Conditions,2016-04-04,24,100.0,4.916667,11.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-04-05,24,100.0,5.458333,10.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-04-06,23,96.0,6.434783,11.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-04-07,24,100.0,8.666667,16.0,9,,California,Alameda
PM2.5 - Local Conditions,2016-04-08,24,100.0,8.25,14.0,9,,California,Alameda
PM2.5 - Local Conditions,2016-04-09,24,100.0,4.083333,8.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-04-10,24,100.0,3.958333,19.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-04-11,24,100.0,4.75,10.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-04-12,24,100.0,5.791667,9.0,10,,California,Alameda
PM2.5 - Local Conditions,2016-04-13,23,96.0,6.521739,11.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-04-14,24,100.0,7.166667,12.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-04-15,24,100.0,4.083333,8.0,3,,California,Alameda
PM2.5 - Local Conditions,2016-04-16,24,100.0,4.25,8.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-04-17,24,100.0,8.25,15.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-04-18,24,100.0,8.375,23.0,4,,California,Alameda
PM2.5 - Local Conditions,2016-04-19,23,96.0,7.0,11.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-04-20,24,100.0,5.666667,9.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-04-21,24,100.0,3.833333,8.0,6,,California,Alameda
PM2.5 - Local Conditions,2016-04-22,24,100.0,3.583333,9.0,12,,California,Alameda
PM2.5 - Local Conditions,2016-04-23,24,100.0,3.666667,6.0,14,,California,Alameda
PM2.5 - Local Conditions,2016-04-24,24,100.0,5.458333,10.0,16,,California,Alameda
PM2.5 - Local Conditions,2016-04-25,24,100.0,4.833333,11.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-04-26,23,96.0,7.347826,10.0,5,,California,Alameda
PM2.5 - Local Conditions,2016-04-27,24,100.0,6.125,12.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-04-28,23,96.0,6.869565,12.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-04-29,24,100.0,9.625,17.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-04-30,24,100.0,6.041667,13.0,11,,California,Alameda
PM2.5 - Local Conditions,2016-05-01,19,79.0,5.736842,17.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-05-02,23,96.0,9.956522,22.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-05-03,23,96.0,9.043478,16.0,9,,California,Alameda
PM2.5 - Local Conditions,2016-05-04,24,100.0,8.291667,11.0,9,,California,Alameda
PM2.5 - Local Conditions,2016-05-05,24,100.0,4.291667,8.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-05-06,24,100.0,5.708333,11.0,9,,California,Alameda
PM2.5 - Local Conditions,2016-05-07,24,100.0,4.625,8.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-05-08,24,100.0,4.291667,7.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-05-09,24,100.0,7.166667,13.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-05-10,24,100.0,11.25,18.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-05-11,24,100.0,10.208333,14.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-05-12,23,96.0,10.217391,17.0,12,,California,Alameda
PM2.5 - Local Conditions,2016-05-13,24,100.0,7.333333,12.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-05-14,24,100.0,5.041667,18.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-05-15,24,100.0,4.0,7.0,11,,California,Alameda
PM2.5 - Local Conditions,2016-05-16,24,100.0,5.625,11.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-05-19,24,100.0,9.291667,14.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-05-20,24,100.0,6.458333,11.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-05-21,24,100.0,3.458333,6.0,3,,California,Alameda
PM2.5 - Local Conditions,2016-05-22,24,100.0,2.875,7.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-05-23,24,100.0,3.5,8.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-05-24,24,100.0,2.916667,5.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-05-25,24,100.0,5.041667,17.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-05-26,24,100.0,7.958333,13.0,14,,California,Alameda
PM2.5 - Local Conditions,2016-05-27,24,100.0,11.166667,17.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-05-28,24,100.0,11.208333,17.0,22,,California,Alameda
PM2.5 - Local Conditions,2016-05-29,24,100.0,15.5,20.0,11,,California,Alameda
PM2.5 - Local Conditions,2016-05-30,24,100.0,11.583333,17.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-05-31,24,100.0,8.875,14.0,6,,California,Alameda
PM2.5 - Local Conditions,2016-06-01,24,100.0,9.458333,16.0,8,,California,Alameda
PM2.5 - Local Conditions,2016-06-02,23,96.0,12.304348,17.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-06-03,24,100.0,9.083333,15.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-06-04,24,100.0,10.0,12.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-06-05,24,100.0,7.375,10.0,11,,California,Alameda
PM2.5 - Local Conditions,2016-06-06,24,100.0,6.958333,11.0,3,,California,Alameda
PM2.5 - Local Conditions,2016-06-07,23,96.0,6.086957,9.0,19,,California,Alameda
PM2.5 - Local Conditions,2016-06-08,24,100.0,5.375,12.0,12,,California,Alameda
PM2.5 - Local Conditions,2016-06-09,24,100.0,5.791667,11.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-06-10,24,100.0,6.333333,10.0,23,,California,Alameda
PM2.5 - Local Conditions,2016-06-11,24,100.0,5.833333,10.0,6,,California,Alameda
PM2.5 - Local Conditions,2016-06-12,24,100.0,11.25,18.0,15,,California,Alameda
PM2.5 - Local Conditions,2016-06-13,24,100.0,10.0,16.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-06-14,23,96.0,6.608696,11.0,5,,California,Alameda
PM2.5 - Local Conditions,2016-06-15,24,100.0,5.0,10.0,7,,California,Alameda
PM2.5 - Local Conditions,2016-06-16,24,100.0,3.5,8.0,16,,California,Alameda
PM2.5 - Local Conditions,2016-06-17,24,100.0,3.666667,9.0,12,,California,Alameda
PM2.5 - Local Conditions,2016-06-18,24,100.0,3.5,8.0,9,,California,Alameda
PM2.5 - Local Conditions,2016-06-19,24,100.0,6.208333,9.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-06-20,24,100.0,6.833333,9.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-06-21,24,100.0,7.166667,10.0,14,,California,Alameda
PM2.5 - Local Conditions,2016-06-22,24,100.0,11.416667,16.0,5,,California,Alameda
PM2.5 - Local Conditions,2016-06-23,23,96.0,6.913043,11.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-06-24,24,100.0,4.541667,10.0,18,,California,Alameda
PM2.5 - Local Conditions,2016-06-25,24,100.0,8.541667,16.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-06-26,24,100.0,9.416667,16.0,1,,California,Alameda
PM2.5 - Local Conditions,2016-06-27,24,100.0,10.708333,18.0,21,,California,Alameda
PM2.5 - Local Conditions,2016-06-28,24,100.0,9.916667,14.0,12,,California,Alameda
PM2.5 - Local Conditions,2016-06-29,23,96.0,13.956522,18.0,2,,California,Alameda
PM2.5 - Local Conditions,2016-06-30,24,100.0,15.375,26.0,15,,California,Alameda
PM2.5 - Local Conditions,2016-07-01,24,100.0,16.291667,21.0,6,,California,Alameda
PM2.5 - Local Conditions,2016-07-02,24,100.0,10.208333,17.0,2,,California,Alameda
PM2.5 - Local Conditions,2016-07-03,24,100.0,6.833333,10.0,15,,California,Alameda
PM2.5 - Local Conditions,2016-07-04,24,100.0,10.333333,37.0,20,,California,Alameda
PM2.5 - Local Conditions,2016-07-05,24,100.0,7.875,14.0,0,,California,Alameda
PM2.5 - Local Conditions,2016-07-06,24,100.0,7.541667,11.0,13,,California,Alameda
