State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,Alameda,6,1,1/1/2016,52,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,2/1/2016,58,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,3/1/2016,76,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,4/1/2016,66,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,5/1/2016,43,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,6/1/2016,35,Good,NO2,06-001-0012,5
California,Alameda,6,1,7/1/2016,52,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,8/1/2016,60,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,9/1/2016,52,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,10/1/2016,54,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,11/1/2016,59,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,12/1/2016,61,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,13/1/2016,52,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,14/1/2016,40,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,15/1/2016,54,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,16/1/2016,38,Good,PM2.5,06-001-0007,5
California,Alameda,6,1,17/1/2016,29,Good,Ozone,06-001-2005,5
California,Alameda,6,1,18/1/2016,52,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,19/1/2016,52,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,20/1/2016,60,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,21/1/2016,58,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,22/1/2016,33,Good,Ozone,06-001-0007,5
California,Alameda,6,1,23/1/2016,40,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,24/1/2016,35,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,25/1/2016,52,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,26/1/2016,57,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,27/1/2016,60,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,28/1/2016,70,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,29/1/2016,42,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,30/1/2016,36,Good,Ozone,06-001-0007,5
California,Alameda,6,1,31/1/2016,33,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,1/2/2016,32,Good,Ozone,06-001-0007,5
California,Alameda,6,1,2/2/2016,44,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,3/2/2016,55,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,4/2/2016,53,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,5/2/2016,59,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,6/2/2016,63,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,7/2/2016,58,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,8/2/2016,47,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,9/2/2016,75,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,10/2/2016,72,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,11/2/2016,67,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,12/2/2016,62,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,13/2/2016,55,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,14/2/2016,52,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,15/2/2016,47,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,16/2/2016,62,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,17/2/2016,44,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,18/2/2016,41,Good,Ozone,06-001-2005,5
California,Alameda,6,1,19/2/2016,43,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,20/2/2016,42,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,21/2/2016,54,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,22/2/2016,54,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,23/2/2016,52,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,24/2/2016,65,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,25/2/2016,74,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,26/2/2016,54,Moderate,PM2.5,06-001-0007,5
California,Alameda,6,1,27/2/2016,34,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,28/2/2016,55,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,29/2/2016,56,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,1/3/2016,47,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,2/3/2016,49,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,3/3/2016,34,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,4/3/2016,32,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,5/3/2016,41,Good,Ozone,06-001-2005,5
California,Alameda,6,1,6/3/2016,47,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,7/3/2016,41,Good,Ozone,06-001-2005,5
California,Alameda,6,1,8/3/2016,37,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,9/3/2016,41,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,10/3/2016,36,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,11/3/2016,39,Good,Ozone,06-001-2005,5
California,Alameda,6,1,12/3/2016,37,Good,Ozone,06-001-2005,5
California,Alameda,6,1,13/3/2016,40,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,14/3/2016,49,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,15/3/2016,53,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,16/3/2016,55,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,17/3/2016,52,Moderate,PM2.5,06-001-0012,5
California,Alameda,6,1,18/3/2016,51,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,19/3/2016,35,Good,Ozone,06-001-2005,5
California,Alameda,6,1,20/3/2016,42,Good,Ozone,06-001-2005,5
California,Alameda,6,1,21/3/2016,48,Good,PM2.5,06-001-0012,5
California,Alameda,6,1,22/3/2016,36,Good,Ozone,06-001-0011,5
California,Alameda,6,1,23/3/2016,42,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,24/3/2016,52,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,25/3/2016,57,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,26/3/2016,55,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,27/3/2016,43,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,28/3/2016,38,Good,Ozone,06-001-2005,5
California,Alameda,6,1,29/3/2016,44,Good,PM2.5,06-001-0011,5
California,Alameda,6,1,30/3/2016,57,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,31/3/2016,53,Moderate,PM2.5,06-001-0011,5
California,Alameda,6,1,1/4/2016,46,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,2/4/2016,54,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,3/4/2016,47,Good,PM2.5,06-001-0007,6
California,Alameda,6,1,4/4/2016,53,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,5/4/2016,58,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,6/4/2016,55,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,7/4/2016,62,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,8/4/2016,57,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,9/4/2016,40,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,10/4/2016,36,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,11/4/2016,52,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,12/4/2016,51,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,13/4/2016,55,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,14/4/2016,52,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,15/4/2016,43,Good,Ozone,06-001-2005,6
California,Alameda,6,1,16/4/2016,49,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,17/4/2016,80,Moderate,Ozone,06-001-2001,6
California,Alameda,6,1,18/4/2016,100,Moderate,Ozone,06-001-2005,6
California,Alameda,6,1,19/4/2016,71,Moderate,Ozone,06-001-2005,6
California,Alameda,6,1,20/4/2016,58,Moderate,Ozone,06-001-2005,6
California,Alameda,6,1,21/4/2016,35,Good,Ozone,06-001-2005,6
California,Alameda,6,1,22/4/2016,45,Good,Ozone,06-001-2005,6
California,Alameda,6,1,23/4/2016,46,Good,Ozone,06-001-2005,6
California,Alameda,6,1,24/4/2016,41,Good,Ozone,06-001-2005,6
California,Alameda,6,1,25/4/2016,42,Good,Ozone,06-001-2005,6
California,Alameda,6,1,26/4/2016,56,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,27/4/2016,48,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,28/4/2016,54,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,29/4/2016,57,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,30/4/2016,40,Good,Ozone,06-001-2005,6
California,Alameda,6,1,1/5/2016,56,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2/5/2016,55,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,3/5/2016,56,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,4/5/2016,50,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,5/5/2016,38,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,6/5/2016,46,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,7/5/2016,30,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,8/5/2016,35,Good,Ozone,06-001-2005,6
California,Alameda,6,1,9/5/2016,48,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,10/5/2016,58,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,11/5/2016,57,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,12/5/2016,54,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,13/5/2016,44,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,14/5/2016,35,Good,Ozone,06-001-2005,6
California,Alameda,6,1,15/5/2016,33,Good,Ozone,06-001-2005,6
California,Alameda,6,1,16/5/2016,52,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,17/5/2016,59,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,18/5/2016,69,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,19/5/2016,58,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,20/5/2016,45,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,21/5/2016,36,Good,Ozone,06-001-2005,6
California,Alameda,6,1,22/5/2016,31,Good,Ozone,06-001-2005,6
California,Alameda,6,1,23/5/2016,32,Good,Ozone,06-001-2005,6
California,Alameda,6,1,24/5/2016,27,Good,Ozone,06-001-2005,6
California,Alameda,6,1,25/5/2016,32,Good,PM2.5,06-001-0012,6
