State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,Alameda,6,1,2018-01-01,88,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-02,96,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-03,110,Unhealthy for Sensitive Groups,PM2.5,06-001-0007,6
California,Alameda,6,1,2018-01-04,82,Moderate,PM2.5,06-001-0013,6
California,Alameda,6,1,2018-01-05,46,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-06,57,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-07,69,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-08,58,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-09,41,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-10,54,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-11,65,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-12,63,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-13,66,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-14,85,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-15,86,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-16,73,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-17,83,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-18,71,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-19,45,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-20,54,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-21,58,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-22,55,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-23,57,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-24,59,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-25,49,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-26,58,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-27,54,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-28,53,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-01-29,79,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-30,66,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-01-31,66,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-02-01,66,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-02-02,67,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-03,64,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-02-04,66,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-02-05,67,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-02-06,57,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-07,70,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-08,95,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-09,64,Moderate,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-02-10,55,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-11,53,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-12,41,Good,PM2.5,06-001-0012,6
California,Alameda,6,1,2018-02-13,48,Good,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-14,56,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-15,55,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-16,76,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-17,61,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-18,53,Moderate,PM2.5,06-001-0011,6
California,Alameda,6,1,2018-02-19,37,Good,PM2.5,06-001-0009,6
