State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
California,Alameda,6,1,2020-01-01,58,Moderate,PM2.5,06-001-0009,7
California,Alameda,6,1,2020-01-02,53,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-03,77,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-04,54,Moderate,PM2.5,06-001-0007,7
California,Alameda,6,1,2020-01-05,43,Good,PM2.5,06-001-0007,7
California,Alameda,6,1,2020-01-06,47,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-07,56,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-08,39,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-09,35,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-10,51,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-11,49,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-12,44,Good,PM2.5,06-001-0012,7
California,Alameda,6,1,2020-01-13,34,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-14,42,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-15,48,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-16,35,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-01-17,46,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-01-18,53,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-01-19,51,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-01-20,65,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-21,34,Good,NO2,06-001-0015,7
California,Alameda,6,1,2020-01-22,49,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-23,55,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-24,55,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-25,52,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-26,40,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-27,52,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-28,52,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-29,56,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-30,52,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-01-31,59,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-01,69,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-02,43,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-02-03,34,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-02-04,36,Good,NO2,06-001-0012,7
California,Alameda,6,1,2020-02-05,55,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-06,59,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-07,61,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-02-08,55,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-02-09,34,Good,Ozone,06-001-0013,7
California,Alameda,6,1,2020-02-10,38,Good,NO2,06-001-0013,7
California,Alameda,6,1,2020-02-11,45,Good,NO2,06-001-0013,7
California,Alameda,6,1,2020-02-12,58,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-13,52,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-02-14,53,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-15,60,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-16,45,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-17,46,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-18,55,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-19,56,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-20,60,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-21,61,Moderate,PM2.5,06-001-0012,7
California,Alameda,6,1,2020-02-22,61,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-23,46,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-24,48,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-25,59,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-26,60,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-27,61,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-28,61,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-02-29,50,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-03-01,37,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-03-02,38,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-03-03,53,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-03-04,58,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-03-05,57,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-03-06,33,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-03-07,33,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-03-08,36,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-03-09,37,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-03-10,35,Good,NO2,06-001-0013,7
California,Alameda,6,1,2020-03-11,52,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-03-12,55,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-03-13,61,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-03-14,36,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-03-15,40,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-03-16,38,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-03-17,35,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-03-18,36,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-03-19,39,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-03-20,44,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-03-21,38,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-03-22,40,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-03-23,41,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-03-24,38,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-03-25,39,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-03-26,36,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-03-27,48,Good,PM2.5,06-001-0009,7
California,Alameda,6,1,2020-03-28,53,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-03-29,41,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-03-30,36,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-03-31,31,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-04-01,37,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-04-02,36,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-04-03,35,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-04-04,30,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-04-05,35,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-04-06,36,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-04-07,38,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-04-08,36,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-09,31,Good,Ozone,06-001-0013,7
California,Alameda,6,1,2020-04-10,37,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-04-11,33,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-04-12,58,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-13,59,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-14,53,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-15,57,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-16,33,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-04-17,40,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-18,40,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-04-19,38,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-04-20,38,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-04-21,40,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-22,41,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-23,42,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-24,58,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-25,47,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-26,42,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-27,51,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-04-28,39,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-04-29,26,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-04-30,45,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-01,48,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-02,31,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-05-03,44,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-04,50,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-05,39,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-06,53,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-07,62,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-08,93,Moderate,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-09,54,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-05-10,48,Good,PM2.5,06-001-0009,7
California,Alameda,6,1,2020-05-11,42,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-12,38,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-13,32,Good,Ozone,06-001-0013,7
California,Alameda,6,1,2020-05-14,30,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-15,41,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-16,30,Good,Ozone,06-001-2001,7
California,Alameda,6,1,2020-05-17,32,Good,Ozone,06-001-0011,7
California,Alameda,6,1,2020-05-18,36,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-19,35,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-20,36,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-21,47,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-22,53,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-23,57,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-24,60,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-25,62,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-26,60,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-27,58,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-05-28,45,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-29,35,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-05-30,31,Good,PM2.5,06-001-0012,7
California,Alameda,6,1,2020-05-31,29,Good,Ozone,06-001-0013,7
California,Alameda,6,1,2020-06-01,54,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-02,61,Moderate,Ozone,06-001-0007,7
California,Alameda,6,1,2020-06-03,71,Moderate,Ozone,06-001-0007,7
California,Alameda,6,1,2020-06-04,68,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-05,54,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-06,37,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-07,33,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-08,41,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-09,53,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-10,42,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-11,37,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-12,32,Good,Ozone,06-001-0013,7
California,Alameda,6,1,2020-06-13,31,Good,Ozone,06-001-0013,7
California,Alameda,6,1,2020-06-14,26,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-06-15,39,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-16,44,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-17,50,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-18,66,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-19,53,Moderate,PM2.5,06-001-0009,7
California,Alameda,6,1,2020-06-20,42,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-06-21,43,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-22,49,Good,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-23,44,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-06-24,51,Moderate,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-06-25,38,Good,Ozone,06-001-0007,7
California,Alameda,6,1,2020-06-26,42,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-06-27,49,Good,PM2.5,06-001-0015,7
California,Alameda,6,1,2020-06-28,61,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-29,63,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-06-30,64,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-07-01,57,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-07-02,52,Moderate,PM2.5,06-001-0013,7
California,Alameda,6,1,2020-07-03,56,Moderate,PM2.5,06-001-0009,7
