County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10
Placer,2015,Child vs. adult,18+ years,17.0,(9.0-24.9),16.90566037735849
Riverside,2015,Child vs. adult,18+ years,15.2,(10.2-20.1),56.72054794520548
Sacramento,2015,Child vs. adult,18+ years,21.6,(16.3-26.9),20.643835616438356
San Benito,2015,Child vs. adult,18+ years,15.7,(6.4-25.0),16.490304709141274
San Bernardino,2015,Child vs. adult,18+ years,17.1,(13.4-20.9),22.624657534246577
San Diego,2015,Child vs. adult,18+ years,14.7,(12.7-16.6),20.838461538461537
San Francisco,2015,Child vs. adult,18+ years,15.2,(9.4-21.1),18.066666666666666
San Joaquin,2015,Child vs. adult,18+ years,17.8,(11.9-23.8),27.344444444444445
San Luis Obispo,2015,Child vs. adult,18+ years,13.6,(7.7-19.5),16.73972602739726
Santa Barbara,2015,Child vs. adult,18+ years,11.7,(4.5-18.8),22.602739726027398
Santa Clara,2015,Child vs. adult,18+ years,11.7,(8.3-15.1),20.96551724137931
Shasta,2015,Child vs. adult,18+ years,14.9,(8.7-21.0),12.852459016393443
Siskiyou,2015,Child vs. adult,18+ years,20.5,(8.7-32.3),13.266666666666667
Solano,2015,Child vs. adult,18+ years,24.9,(15.2-34.6),12.175438596491228
Sonoma,2015,Child vs. adult,18+ years,17.7,(9.2-26.1),9.449315068493151
Stanislaus,2015,Child vs. adult,18+ years,18.6,(11.9-25.2),26.192200557103064
Sutter,2015,Child vs. adult,18+ years,17.7,(7.4-28.0),21.997206703910614
Tehama,2015,Child vs. adult,18+ years,17.0,(8.7-25.2),20.43103448275862
Tulare,2015,Child vs. adult,18+ years,18.7,(12.6-24.8),50.15428571428571
Ventura,2015,Child vs. adult,18+ years,17.0,(12.1-21.8),21.243835616438357
Yolo,2015,Child vs. adult,18+ years,16.7,(5.1-28.3),21.307692307692307
Contra Costa,2015,Age groups,5-17 years,34.3,(2.0-66.6),14.983333333333333
Fresno,2015,Age groups,5-17 years,20.5,(3.4-37.6),34.895890410958906
Imperial,2015,Age groups,5-17 years,24.1,(9.0-39.1),43.49315068493151
Kern,2015,Age groups,5-17 years,31.3,(12.1-50.4),22.729805013927578
Kings,2015,Age groups,5-17 years,35.6,(11.8-59.3),47.885474860335194
Los Angeles,2015,Age groups,5-17 years,16.6,(10.0-23.2),30.035616438356165
Orange,2015,Age groups,5-17 years,22.1,(5.3-38.8),24.744505494505493
Riverside,2015,Age groups,5-17 years,20.6,(5.2-36.0),56.72054794520548
Sacramento,2015,Age groups,5-17 years,13.6,(1.0-26.1),20.643835616438356
San Bernardino,2015,Age groups,5-17 years,15.7,(2.6-28.8),22.624657534246577
San Diego,2015,Age groups,5-17 years,15.6,(7.0-24.1),20.838461538461537
Butte,2015,Age groups,18-64 years,16.9,(7.6-26.1),20.51260504201681
Calaveras,2015,Age groups,18-64 years,12.9,(4.9-20.9),15.865013774104684
Colusa,2015,Age groups,18-64 years,17.7,(7.7-27.8),24.24561403508772
Contra Costa,2015,Age groups,18-64 years,19.4,(12.9-26.0),14.983333333333333
El Dorado,2015,Age groups,18-64 years,28.3,(13.0-43.6),15.656626506024097
Fresno,2015,Age groups,18-64 years,15.9,(8.4-23.3),34.895890410958906
Glenn,2015,Age groups,18-64 years,17.7,(7.7-27.8),26.20343839541547
Humboldt,2015,Age groups,18-64 years,20.5,(5.3-35.8),17.66573816155989
Imperial,2015,Age groups,18-64 years,11.7,(6.6-16.8),43.49315068493151
Inyo,2015,Age groups,18-64 years,12.9,(4.9-20.9),15.301369863013699
Kern,2015,Age groups,18-64 years,20.3,(13.8-26.8),22.729805013927578
Kings,2015,Age groups,18-64 years,25.9,(14.5-37.2),47.885474860335194
Lake,2015,Age groups,18-64 years,27.9,(15.7-40.2),8.848484848484848
Los Angeles,2015,Age groups,18-64 years,12.6,(10.6-14.6),30.035616438356165
Madera,2015,Age groups,18-64 years,13.9,(5.1-22.8),31.877142857142857
Marin,2015,Age groups,18-64 years,10.9,(7.2-14.7),15.166666666666666
Mariposa,2015,Age groups,18-64 years,12.9,(4.9-20.9),22.36705202312139
Mendocino,2015,Age groups,18-64 years,18.0,(8.9-27.0),13.325373134328359
Merced,2015,Age groups,18-64 years,17.4,(7.5-27.3),30.155172413793103
Mono,2015,Age groups,18-64 years,12.9,(4.9-20.9),15.90958904109589
Monterey,2015,Age groups,18-64 years,9.1,(4.7-13.5),23.812849162011172
Napa,2015,Age groups,18-64 years,22.3,(10.8-33.8),17.847457627118644
Orange,2015,Age groups,18-64 years,10.4,(6.5-14.3),24.744505494505493
Placer,2015,Age groups,18-64 years,18.2,(7.7-28.7),16.90566037735849
Riverside,2015,Age groups,18-64 years,17.0,(10.9-23.0),56.72054794520548
Sacramento,2015,Age groups,18-64 years,22.8,(16.7-29.0),20.643835616438356
San Benito,2015,Age groups,18-64 years,16.2,(5.4-27.1),16.490304709141274
San Bernardino,2015,Age groups,18-64 years,17.6,(12.7-22.5),22.624657534246577
San Diego,2015,Age groups,18-64 years,15.1,(12.7-17.6),20.838461538461537
San Francisco,2015,Age groups,18-64 years,15.8,(8.9-22.7),18.066666666666666
San Joaquin,2015,Age groups,18-64 years,17.8,(11.1-24.6),27.344444444444445
San Luis Obispo,2015,Age groups,18-64 years,12.6,(4.9-20.4),16.73972602739726
Santa Barbara,2015,Age groups,18-64 years,11.7,(2.9-20.5),22.602739726027398
Santa Clara,2015,Age groups,18-64 years,11.8,(7.8-15.9),20.96551724137931
Shasta,2015,Age groups,18-64 years,15.7,(9.0-22.5),12.852459016393443
Siskiyou,2015,Age groups,18-64 years,19.9,(5.0-34.8),13.266666666666667
Solano,2015,Age groups,18-64 years,25.8,(14.3-37.3),12.175438596491228
Sonoma,2015,Age groups,18-64 years,19.8,(9.3-30.3),9.449315068493151
Stanislaus,2015,Age groups,18-64 years,17.3,(9.5-25.1),26.192200557103064
Sutter,2015,Age groups,18-64 years,18.0,(4.8-31.2),21.997206703910614
Tehama,2015,Age groups,18-64 years,17.7,(7.7-27.8),20.43103448275862
Tulare,2015,Age groups,18-64 years,18.9,(11.2-26.7),50.15428571428571
Ventura,2015,Age groups,18-64 years,17.8,(11.8-23.8),21.243835616438357
Yolo,2015,Age groups,18-64 years,17.5,(4.5-30.6),21.307692307692307
Butte,2015,Age groups,65+ years,15.1,(5.5-24.8),20.51260504201681
Calaveras,2015,Age groups,65+ years,19.7,(5.8-33.5),15.865013774104684
Colusa,2015,Age groups,65+ years,15.0,(1.2-28.7),24.24561403508772
Contra Costa,2015,Age groups,65+ years,17.8,(10.5-25.1),14.983333333333333
El Dorado,2015,Age groups,65+ years,11.7,(2.3-21.2),15.656626506024097
Fresno,2015,Age groups,65+ years,14.9,(5.8-23.9),34.895890410958906
Glenn,2015,Age groups,65+ years,15.0,(1.2-28.7),26.20343839541547
Humboldt,2015,Age groups,65+ years,13.6,(3.3-23.8),17.66573816155989
Imperial,2015,Age groups,65+ years,12.5,(2.4-22.6),43.49315068493151
Inyo,2015,Age groups,65+ years,19.7,(5.8-33.5),15.301369863013699
Kern,2015,Age groups,65+ years,18.0,(8.5-27.5),22.729805013927578
Kings,2015,Age groups,65+ years,15.0,(2.5-27.5),47.885474860335194
Lake,2015,Age groups,65+ years,15.2,(4.4-26.0),8.848484848484848
Los Angeles,2015,Age groups,65+ years,13.2,(10.2-16.2),30.035616438356165
Madera,2015,Age groups,65+ years,15.9,(6.3-25.6),31.877142857142857
Marin,2015,Age groups,65+ years,12.3,(5.9-18.8),15.166666666666666
Mariposa,2015,Age groups,65+ years,19.7,(5.8-33.5),22.36705202312139
Mendocino,2015,Age groups,65+ years,18.1,(1.2-35.0),13.325373134328359
