County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10
Ventura,2017,Age groups,18-64 years,11.5,(6.5-16.5),24.495890410958904
Yolo,2017,Age groups,18-64 years,21.9,(10.1-33.8),21.09722222222222
Calaveras,2017,Age groups,65+ years,20.6,(7.6-33.5),16.58744394618834
Colusa,2017,Age groups,65+ years,16.7,(2.6-30.9),24.005797101449275
Contra Costa,2017,Age groups,65+ years,15.0,(6.3-23.7),16.868852459016395
El Dorado,2017,Age groups,65+ years,11.2,(0.6-21.8),17.258160237388726
Fresno,2017,Age groups,65+ years,16.5,(4.5-28.6),38.36164383561644
Glenn,2017,Age groups,65+ years,16.7,(2.6-30.9),24.69705882352941
Imperial,2017,Age groups,65+ years,22.1,(3.5-40.7),54.86027397260274
Inyo,2017,Age groups,65+ years,20.6,(7.6-33.5),17.473972602739725
Kern,2017,Age groups,65+ years,14.0,(3.0-24.9),30.370481927710845
Kings,2017,Age groups,65+ years,13.0,(3.8-22.3),52.90958904109589
Lake,2017,Age groups,65+ years,19.1,(6.1-32.0),12.828125
Los Angeles,2017,Age groups,65+ years,12.9,(10.1-15.8),31.767123287671232
Madera,2017,Age groups,65+ years,17.6,(0.1-35.1),34.16986301369863
Marin,2017,Age groups,65+ years,13.9,(2.7-25.1),16.696428571428573
Mariposa,2017,Age groups,65+ years,20.6,(7.6-33.5),23.002923976608187
Mendocino,2017,Age groups,65+ years,20.3,(3.2-37.4),12.610951008645532
Merced,2017,Age groups,65+ years,25.9,(4.6-47.3),34.728813559322035
Mono,2017,Age groups,65+ years,20.6,(7.6-33.5),21.473972602739725
Monterey,2017,Age groups,65+ years,14.4,(6.0-22.9),28.634349030470915
Placer,2017,Age groups,65+ years,12.7,(3.6-21.8),15.363372093023257
Riverside,2017,Age groups,65+ years,12.4,(5.8-19.0),43.30958904109589
Sacramento,2017,Age groups,65+ years,20.2,(9.2-31.2),21.797142857142855
San Bernardino,2017,Age groups,65+ years,12.5,(5.8-19.2),25.175342465753424
San Diego,2017,Age groups,65+ years,11.6,(7.1-16.1),22.16030534351145
San Francisco,2017,Age groups,65+ years,13.1,(3.0-23.3),20.9
San Luis Obispo,2017,Age groups,65+ years,17.2,(6.5-28.0),21.435616438356163
Santa Clara,2017,Age groups,65+ years,16.4,(9.2-23.6),20.62962962962963
Shasta,2017,Age groups,65+ years,8.9,(3.2-14.6),15.46031746031746
Solano,2017,Age groups,65+ years,20.3,(7.8-32.8),17.4
Sonoma,2017,Age groups,65+ years,19.7,(6.5-32.9),13.331506849315069
Stanislaus,2017,Age groups,65+ years,15.5,(1.6-29.4),29.6536312849162
Sutter,2017,Age groups,65+ years,27.3,(8.4-46.2),20.687671232876713
Tehama,2017,Age groups,65+ years,16.7,(2.6-30.9),19.5
Tulare,2017,Age groups,65+ years,20.3,(2.5-38.1),46.315186246418335
Ventura,2017,Age groups,65+ years,17.6,(7.0-28.1),24.495890410958904
Butte,2019,Total population,All ages,20.2,(14.7-25.6),19.914285714285715
Calaveras,2019,Total population,All ages,25.1,(20.2-30.0),12.625368731563421
Colusa,2019,Total population,All ages,18.6,(12.5-24.7),28.03038674033149
Contra Costa,2019,Total population,All ages,17.9,(14.2-21.5),14.344262295081966
El Dorado,2019,Total population,All ages,17.4,(12.8-22.1),13.896848137535816
Fresno,2019,Total population,All ages,20.0,(16.3-23.7),34.85479452054795
Glenn,2019,Total population,All ages,18.6,(12.5-24.7),19.864942528735632
Humboldt,2019,Total population,All ages,16.8,(12.9-20.8),14.706896551724139
Imperial,2019,Total population,All ages,15.9,(11.4-20.3),43.45753424657534
Inyo,2019,Total population,All ages,25.1,(20.2-30.0),23.4
Kern,2019,Total population,All ages,17.7,(14.1-21.4),28.44931506849315
Kings,2019,Total population,All ages,21.2,(16.0-26.4),48.21643835616438
Lake,2019,Total population,All ages,19.0,(13.8-24.3),9.772727272727273
Los Angeles,2019,Total population,All ages,14.6,(13.6-15.7),22.49586776859504
Madera,2019,Total population,All ages,19.4,(13.9-25.0),35.562130177514796
Marin,2019,Total population,All ages,19.6,(14.4-24.9),13.35593220338983
Mariposa,2019,Total population,All ages,25.1,(20.2-30.0),20.12264150943396
Mendocino,2019,Total population,All ages,13.6,(8.7-18.5),12.084269662921349
Merced,2019,Total population,All ages,18.9,(13.2-24.7),28.81967213114754
Mono,2019,Total population,All ages,25.1,(20.2-30.0),25.101369863013698
Monterey,2019,Total population,All ages,14.4,(10.9-17.9),19.07079646017699
Napa,2019,Total population,All ages,22.0,(12.3-31.8),13.214285714285714
Orange,2019,Total population,All ages,14.2,(12.4-16.1),21.956043956043956
Placer,2019,Total population,All ages,17.7,(13.7-21.8),14.363888888888889
Riverside,2019,Total population,All ages,12.2,(10.4-14.0),31.315068493150687
Sacramento,2019,Total population,All ages,16.0,(13.2-18.8),19.386111111111113
San Benito,2019,Total population,All ages,16.4,(8.7-24.0),16.598314606741575
San Bernardino,2019,Total population,All ages,12.8,(10.7-15.0),24.361643835616437
San Diego,2019,Total population,All ages,14.2,(12.8-15.7),20.024793388429753
San Francisco,2019,Total population,All ages,15.4,(12.3-18.4),13.733333333333333
San Joaquin,2019,Total population,All ages,15.9,(12.2-19.6),26.08011049723757
San Luis Obispo,2019,Total population,All ages,15.4,(8.8-22.1),17.93972602739726
Santa Barbara,2019,Total population,All ages,9.6,(6.5-12.7),19.43013698630137
Santa Clara,2019,Total population,All ages,14.5,(12.4-16.7),18.258333333333333
Shasta,2019,Total population,All ages,20.5,(14.1-27.0),12.015873015873016
Solano,2019,Total population,All ages,22.3,(16.0-28.5),12.125
Sonoma,2019,Total population,All ages,17.7,(12.9-22.5),11.326923076923077
Stanislaus,2019,Total population,All ages,17.0,(13.4-20.6),27.02279202279202
Sutter,2019,Total population,All ages,16.7,(10.4-23.0),22.322222222222223
Tehama,2019,Total population,All ages,18.6,(12.5-24.7),14.15
Tulare,2019,Total population,All ages,9.9,(6.6-13.3),45.71111111111111
Ventura,2019,Total population,All ages,12.8,(9.5-16.0),20.413698630136988
Yolo,2019,Total population,All ages,24.7,(17.5-31.9),20.177419354838708
Butte,2019,Child vs. adult,0-17 years,31.7,(15.5-48.0),19.914285714285715
Calaveras,2019,Child vs. adult,0-17 years,15.7,(6.2-25.3),12.625368731563421
Colusa,2019,Child vs. adult,0-17 years,13.9,(4.2-23.7),28.03038674033149
Contra Costa,2019,Child vs. adult,0-17 years,10.3,(4.2-16.4),14.344262295081966
El Dorado,2019,Child vs. adult,0-17 years,12.9,(1.3-24.5),13.896848137535816
Fresno,2019,Child vs. adult,0-17 years,12.6,(6.1-19.1),34.85479452054795
Glenn,2019,Child vs. adult,0-17 years,13.9,(4.2-23.7),19.864942528735632
Humboldt,2019,Child vs. adult,0-17 years,19.8,(8.3-31.3),14.706896551724139
Imperial,2019,Child vs. adult,0-17 years,10.4,(2.5-18.4),43.45753424657534
Inyo,2019,Child vs. adult,0-17 years,15.7,(6.2-25.3),23.4
Kern,2019,Child vs. adult,0-17 years,7.3,(3.1-11.5),28.44931506849315
Kings,2019,Child vs. adult,0-17 years,27.7,(14.0-41.4),48.21643835616438
Lake,2019,Child vs. adult,0-17 years,13.3,(3.3-23.3),9.772727272727273
Los Angeles,2019,Child vs. adult,0-17 years,12.8,(10.3-15.3),22.49586776859504
Madera,2019,Child vs. adult,0-17 years,12.8,(0.8-24.8),35.562130177514796
Marin,2019,Child vs. adult,0-17 years,23.2,(13.4-33.0),13.35593220338983
Mariposa,2019,Child vs. adult,0-17 years,15.7,(6.2-25.3),20.12264150943396
Merced,2019,Child vs. adult,0-17 years,11.0,(1.3-20.6),28.81967213114754
Mono,2019,Child vs. adult,0-17 years,15.7,(6.2-25.3),25.101369863013698
Monterey,2019,Child vs. adult,0-17 years,14.1,(9.5-18.7),19.07079646017699
Orange,2019,Child vs. adult,0-17 years,13.8,(10.4-17.3),21.956043956043956
Placer,2019,Child vs. adult,0-17 years,10.0,(2.8-17.3),14.363888888888889
Riverside,2019,Child vs. adult,0-17 years,11.5,(6.8-16.2),31.315068493150687
Sacramento,2019,Child vs. adult,0-17 years,8.1,(3.7-12.5),19.386111111111113
San Bernardino,2019,Child vs. adult,0-17 years,8.7,(4.3-13.0),24.361643835616437
San Diego,2019,Child vs. adult,0-17 years,9.8,(7.5-12.1),20.024793388429753
San Francisco,2019,Child vs. adult,0-17 years,10.6,(6.2-15.0),13.733333333333333
San Joaquin,2019,Child vs. adult,0-17 years,19.5,(8.9-30.1),26.08011049723757
San Luis Obispo,2019,Child vs. adult,0-17 years,2.3,(0.4-4.3),17.93972602739726
Santa Barbara,2019,Child vs. adult,0-17 years,4.8,(1.1-8.6),19.43013698630137
Santa Clara,2019,Child vs. adult,0-17 years,9.0,(4.3-13.7),18.258333333333333
Solano,2019,Child vs. adult,0-17 years,7.0,(2.4-11.6),12.125
Sonoma,2019,Child vs. adult,0-17 years,6.0,(0.2-11.8),11.326923076923077
Stanislaus,2019,Child vs. adult,0-17 years,16.7,(8.4-25.1),27.02279202279202
Sutter,2019,Child vs. adult,0-17 years,14.5,(3.1-26.0),22.322222222222223
Tehama,2019,Child vs. adult,0-17 years,13.9,(4.2-23.7),14.15
Tulare,2019,Child vs. adult,0-17 years,4.9,(0.3-9.6),45.71111111111111
Ventura,2019,Child vs. adult,0-17 years,16.6,(6.2-27.1),20.413698630136988
Yolo,2019,Child vs. adult,0-17 years,10.9,(1.8-20.0),20.177419354838708
Butte,2019,Child vs. adult,18+ years,17.3,(12.3-22.2),19.914285714285715
Calaveras,2019,Child vs. adult,18+ years,26.6,(21.3-32.0),12.625368731563421
Colusa,2019,Child vs. adult,18+ years,20.2,(13.1-27.2),28.03038674033149
Contra Costa,2019,Child vs. adult,18+ years,19.9,(15.9-24.0),14.344262295081966
El Dorado,2019,Child vs. adult,18+ years,18.3,(13.5-23.0),13.896848137535816
Fresno,2019,Child vs. adult,18+ years,22.8,(18.6-27.0),34.85479452054795
Glenn,2019,Child vs. adult,18+ years,20.2,(13.1-27.2),19.864942528735632
Humboldt,2019,Child vs. adult,18+ years,16.1,(12.4-19.8),14.706896551724139
Imperial,2019,Child vs. adult,18+ years,18.1,(13.2-23.1),43.45753424657534
Inyo,2019,Child vs. adult,18+ years,26.6,(21.3-32.0),23.4
Kern,2019,Child vs. adult,18+ years,22.0,(17.2-26.9),28.44931506849315
Kings,2019,Child vs. adult,18+ years,18.4,(13.3-23.6),48.21643835616438
Lake,2019,Child vs. adult,18+ years,20.9,(15.1-26.8),9.772727272727273
Los Angeles,2019,Child vs. adult,18+ years,15.2,(14.0-16.4),22.49586776859504
Madera,2019,Child vs. adult,18+ years,22.0,(16.1-27.8),35.562130177514796
Marin,2019,Child vs. adult,18+ years,18.7,(12.7-24.6),13.35593220338983
Mariposa,2019,Child vs. adult,18+ years,26.6,(21.3-32.0),20.12264150943396
Mendocino,2019,Child vs. adult,18+ years,15.1,(9.9-20.3),12.084269662921349
Merced,2019,Child vs. adult,18+ years,22.0,(15.2-28.9),28.81967213114754
Mono,2019,Child vs. adult,18+ years,26.6,(21.3-32.0),25.101369863013698
Monterey,2019,Child vs. adult,18+ years,14.5,(10.0-18.9),19.07079646017699
Napa,2019,Child vs. adult,18+ years,20.0,(13.0-27.1),13.214285714285714
Orange,2019,Child vs. adult,18+ years,14.3,(12.2-16.4),21.956043956043956
Placer,2019,Child vs. adult,18+ years,19.9,(15.3-24.4),14.363888888888889
Riverside,2019,Child vs. adult,18+ years,12.5,(10.5-14.4),31.315068493150687
Sacramento,2019,Child vs. adult,18+ years,18.6,(15.0-22.2),19.386111111111113
San Benito,2019,Child vs. adult,18+ years,18.8,(12.8-24.8),16.598314606741575
San Bernardino,2019,Child vs. adult,18+ years,14.3,(11.8-16.8),24.361643835616437
San Diego,2019,Child vs. adult,18+ years,15.7,(13.9-17.4),20.024793388429753
San Francisco,2019,Child vs. adult,18+ years,16.3,(13.0-19.7),13.733333333333333
San Joaquin,2019,Child vs. adult,18+ years,14.6,(10.8-18.4),26.08011049723757
San Luis Obispo,2019,Child vs. adult,18+ years,20.6,(11.3-29.9),17.93972602739726
Santa Barbara,2019,Child vs. adult,18+ years,11.0,(7.1-14.8),19.43013698630137
Santa Clara,2019,Child vs. adult,18+ years,16.2,(13.8-18.6),18.258333333333333
Shasta,2019,Child vs. adult,18+ years,20.2,(15.1-25.3),12.015873015873016
Solano,2019,Child vs. adult,18+ years,26.9,(18.7-35.0),12.125
Sonoma,2019,Child vs. adult,18+ years,20.2,(14.7-25.8),11.326923076923077
Stanislaus,2019,Child vs. adult,18+ years,17.1,(13.3-21.0),27.02279202279202
Sutter,2019,Child vs. adult,18+ years,17.4,(10.0-24.8),22.322222222222223
Tehama,2019,Child vs. adult,18+ years,20.2,(13.1-27.2),14.15
Tulare,2019,Child vs. adult,18+ years,12.0,(7.9-16.1),45.71111111111111
Ventura,2019,Child vs. adult,18+ years,11.7,(9.0-14.3),20.413698630136988
Yolo,2019,Child vs. adult,18+ years,28.5,(19.6-37.4),20.177419354838708
Contra Costa,2019,Age groups,0-4 years,4.7,(0.3-9.2),14.344262295081966
Los Angeles,2019,Age groups,0-4 years,7.7,(3.8-11.6),22.49586776859504
Orange,2019,Age groups,0-4 years,2.6,(0.4-4.9),21.956043956043956
San Diego,2019,Age groups,0-4 years,5.2,(3.5-6.9),20.024793388429753
Butte,2019,Age groups,5-17 years,37.6,(17.7-57.6),19.914285714285715
Calaveras,2019,Age groups,5-17 years,24.7,(10.6-38.9),12.625368731563421
Colusa,2019,Age groups,5-17 years,19.2,(7.0-31.5),28.03038674033149
Contra Costa,2019,Age groups,5-17 years,11.8,(4.8-18.9),14.344262295081966
El Dorado,2019,Age groups,5-17 years,15.4,(0.9-29.9),13.896848137535816
Fresno,2019,Age groups,5-17 years,13.4,(6.5-20.2),34.85479452054795
Glenn,2019,Age groups,5-17 years,19.2,(7.0-31.5),19.864942528735632
Humboldt,2019,Age groups,5-17 years,24.5,(10.4-38.5),14.706896551724139
Imperial,2019,Age groups,5-17 years,12.1,(2.2-22.0),43.45753424657534
Inyo,2019,Age groups,5-17 years,24.7,(10.6-38.9),23.4
Kern,2019,Age groups,5-17 years,9.0,(3.6-14.3),28.44931506849315
Kings,2019,Age groups,5-17 years,37.6,(20.6-54.5),48.21643835616438
Lake,2019,Age groups,5-17 years,21.5,(5.5-37.4),9.772727272727273
Los Angeles,2019,Age groups,5-17 years,14.7,(11.7-17.7),22.49586776859504
Madera,2019,Age groups,5-17 years,17.3,(1.9-32.8),35.562130177514796
Marin,2019,Age groups,5-17 years,27.8,(16.8-38.9),13.35593220338983
Mariposa,2019,Age groups,5-17 years,24.7,(10.6-38.9),20.12264150943396
Merced,2019,Age groups,5-17 years,13.4,(1.2-25.5),28.81967213114754
Mono,2019,Age groups,5-17 years,24.7,(10.6-38.9),25.101369863013698
Monterey,2019,Age groups,5-17 years,16.3,(10.7-22.0),19.07079646017699
Orange,2019,Age groups,5-17 years,17.3,(12.9-21.7),21.956043956043956
Placer,2019,Age groups,5-17 years,11.6,(2.4-20.8),14.363888888888889
Riverside,2019,Age groups,5-17 years,13.4,(7.5-19.3),31.315068493150687
Sacramento,2019,Age groups,5-17 years,10.9,(4.8-17.1),19.386111111111113
San Bernardino,2019,Age groups,5-17 years,12.6,(6.2-19.1),24.361643835616437
San Diego,2019,Age groups,5-17 years,12.0,(8.5-15.5),20.024793388429753
San Francisco,2019,Age groups,5-17 years,16.5,(9.8-23.1),13.733333333333333
San Joaquin,2019,Age groups,5-17 years,22.5,(9.8-35.2),26.08011049723757
San Luis Obispo,2019,Age groups,5-17 years,3.2,(0.3-6.2),17.93972602739726
Santa Barbara,2019,Age groups,5-17 years,6.6,(1.4-11.9),19.43013698630137
Santa Clara,2019,Age groups,5-17 years,11.3,(5.2-17.4),18.258333333333333
Solano,2019,Age groups,5-17 years,10.8,(3.1-18.6),12.125
Sonoma,2019,Age groups,5-17 years,6.7,(0.2-13.2),11.326923076923077
Stanislaus,2019,Age groups,5-17 years,19.1,(8.2-30.1),27.02279202279202
Sutter,2019,Age groups,5-17 years,17.3,(2.1-32.5),22.322222222222223
Tehama,2019,Age groups,5-17 years,19.2,(7.0-31.5),14.15
Ventura,2019,Age groups,5-17 years,16.1,(5.4-26.7),20.413698630136988
Yolo,2019,Age groups,5-17 years,14.0,(1.7-26.3),20.177419354838708
Butte,2019,Age groups,18-64 years,18.6,(12.4-24.9),19.914285714285715
Calaveras,2019,Age groups,18-64 years,29.2,(20.8-37.7),12.625368731563421
Colusa,2019,Age groups,18-64 years,21.8,(12.4-31.2),28.03038674033149
Contra Costa,2019,Age groups,18-64 years,20.3,(15.4-25.2),14.344262295081966
El Dorado,2019,Age groups,18-64 years,19.6,(12.8-26.4),13.896848137535816
Fresno,2019,Age groups,18-64 years,23.7,(18.7-28.6),34.85479452054795
Glenn,2019,Age groups,18-64 years,21.8,(12.4-31.2),19.864942528735632
Humboldt,2019,Age groups,18-64 years,16.8,(12.3-21.4),14.706896551724139
Imperial,2019,Age groups,18-64 years,18.3,(13.2-23.4),43.45753424657534
Inyo,2019,Age groups,18-64 years,29.2,(20.8-37.7),23.4
Kern,2019,Age groups,18-64 years,23.4,(18.0-28.8),28.44931506849315
Kings,2019,Age groups,18-64 years,17.2,(11.7-22.6),48.21643835616438
Lake,2019,Age groups,18-64 years,26.5,(17.9-35.2),9.772727272727273
Los Angeles,2019,Age groups,18-64 years,15.5,(14.1-16.9),22.49586776859504
Madera,2019,Age groups,18-64 years,21.3,(14.0-28.6),35.562130177514796
Marin,2019,Age groups,18-64 years,19.0,(11.0-27.0),13.35593220338983
Mariposa,2019,Age groups,18-64 years,29.2,(20.8-37.7),20.12264150943396
Mendocino,2019,Age groups,18-64 years,17.5,(10.0-25.1),12.084269662921349
Merced,2019,Age groups,18-64 years,23.9,(15.9-31.9),28.81967213114754
Mono,2019,Age groups,18-64 years,29.2,(20.8-37.7),25.101369863013698
Monterey,2019,Age groups,18-64 years,12.8,(7.9-17.7),19.07079646017699
Napa,2019,Age groups,18-64 years,16.7,(9.4-24.0),13.214285714285714
Orange,2019,Age groups,18-64 years,15.3,(12.7-17.9),21.956043956043956
Placer,2019,Age groups,18-64 years,24.8,(18.5-31.0),14.363888888888889
Riverside,2019,Age groups,18-64 years,12.8,(10.5-15.2),31.315068493150687
Sacramento,2019,Age groups,18-64 years,19.1,(14.8-23.4),19.386111111111113
San Benito,2019,Age groups,18-64 years,20.2,(12.9-27.5),16.598314606741575
San Bernardino,2019,Age groups,18-64 years,14.4,(11.4-17.3),24.361643835616437
San Diego,2019,Age groups,18-64 years,16.7,(14.5-18.8),20.024793388429753
San Francisco,2019,Age groups,18-64 years,16.5,(12.7-20.3),13.733333333333333
San Joaquin,2019,Age groups,18-64 years,15.1,(10.6-19.6),26.08011049723757
San Luis Obispo,2019,Age groups,18-64 years,22.9,(9.9-35.9),17.93972602739726
Santa Barbara,2019,Age groups,18-64 years,11.1,(6.2-16.0),19.43013698630137
Santa Clara,2019,Age groups,18-64 years,15.4,(12.8-18.0),18.258333333333333
Shasta,2019,Age groups,18-64 years,23.9,(16.9-30.9),12.015873015873016
Solano,2019,Age groups,18-64 years,26.3,(15.9-36.6),12.125
Sonoma,2019,Age groups,18-64 years,20.4,(13.3-27.5),11.326923076923077
Stanislaus,2019,Age groups,18-64 years,17.7,(13.5-22.0),27.02279202279202
Sutter,2019,Age groups,18-64 years,18.9,(9.6-28.1),22.322222222222223
Tehama,2019,Age groups,18-64 years,21.8,(12.4-31.2),14.15
Tulare,2019,Age groups,18-64 years,11.4,(7.0-15.7),45.71111111111111
Ventura,2019,Age groups,18-64 years,12.0,(8.7-15.3),20.413698630136988
Yolo,2019,Age groups,18-64 years,30.2,(20.0-40.4),20.177419354838708
Butte,2019,Age groups,65+ years,12.4,(7.3-17.5),19.914285714285715
Calaveras,2019,Age groups,65+ years,22.4,(16.2-28.6),12.625368731563421
Colusa,2019,Age groups,65+ years,15.6,(9.8-21.3),28.03038674033149
Contra Costa,2019,Age groups,65+ years,18.7,(13.5-24.0),14.344262295081966
El Dorado,2019,Age groups,65+ years,15.1,(9.8-20.4),13.896848137535816
Fresno,2019,Age groups,65+ years,19.3,(11.2-27.5),34.85479452054795
Glenn,2019,Age groups,65+ years,15.6,(9.8-21.3),19.864942528735632
Humboldt,2019,Age groups,65+ years,13.7,(8.6-18.8),14.706896551724139
Imperial,2019,Age groups,65+ years,17.3,(4.5-30.0),43.45753424657534
Inyo,2019,Age groups,65+ years,22.4,(16.2-28.6),23.4
Kern,2019,Age groups,65+ years,14.9,(6.6-23.2),28.44931506849315
Kings,2019,Age groups,65+ years,25.8,(6.9-44.7),48.21643835616438
Lake,2019,Age groups,65+ years,10.1,(6.7-13.5),9.772727272727273
Los Angeles,2019,Age groups,65+ years,14.1,(11.9-16.3),22.49586776859504
Madera,2019,Age groups,65+ years,24.4,(15.8-33.1),35.562130177514796
Marin,2019,Age groups,65+ years,17.9,(12.3-23.5),13.35593220338983
Mariposa,2019,Age groups,65+ years,22.4,(16.2-28.6),20.12264150943396
Mendocino,2019,Age groups,65+ years,10.3,(6.4-14.1),12.084269662921349
Merced,2019,Age groups,65+ years,12.0,(7.8-16.1),28.81967213114754
Mono,2019,Age groups,65+ years,22.4,(16.2-28.6),25.101369863013698
Monterey,2019,Age groups,65+ years,22.6,(12.9-32.3),19.07079646017699
Napa,2019,Age groups,65+ years,29.5,(13.8-45.2),13.214285714285714
Orange,2019,Age groups,65+ years,10.5,(8.2-12.9),21.956043956043956
Placer,2019,Age groups,65+ years,9.1,(5.7-12.5),14.363888888888889
Riverside,2019,Age groups,65+ years,11.1,(8.7-13.5),31.315068493150687
Sacramento,2019,Age groups,65+ years,16.3,(12.1-20.5),19.386111111111113
San Benito,2019,Age groups,65+ years,13.1,(7.7-18.6),16.598314606741575
San Bernardino,2019,Age groups,65+ years,14.3,(10.0-18.6),24.361643835616437
San Diego,2019,Age groups,65+ years,11.4,(9.4-13.4),20.024793388429753
San Francisco,2019,Age groups,65+ years,15.7,(9.2-22.2),13.733333333333333
San Joaquin,2019,Age groups,65+ years,12.7,(5.1-20.3),26.08011049723757
San Luis Obispo,2019,Age groups,65+ years,15.6,(9.9-21.2),17.93972602739726
Santa Barbara,2019,Age groups,65+ years,10.5,(3.9-17.2),19.43013698630137
Santa Clara,2019,Age groups,65+ years,19.9,(14.2-25.6),18.258333333333333
Shasta,2019,Age groups,65+ years,11.6,(7.1-16.0),12.015873015873016
Solano,2019,Age groups,65+ years,28.6,(19.6-37.7),12.125
Sonoma,2019,Age groups,65+ years,20.0,(12.4-27.5),11.326923076923077
Stanislaus,2019,Age groups,65+ years,13.8,(6.0-21.6),27.02279202279202
Sutter,2019,Age groups,65+ years,11.7,(7.6-15.8),22.322222222222223
Tehama,2019,Age groups,65+ years,15.6,(9.8-21.3),14.15
Tulare,2019,Age groups,65+ years,14.7,(6.5-22.9),45.71111111111111
Ventura,2019,Age groups,65+ years,10.5,(6.5-14.5),20.413698630136988
Yolo,2019,Age groups,65+ years,17.8,(11.0-24.6),20.177419354838708
Butte,2021,Total population,All ages,14.7,(11.3-18.2),25.779661016949152
Calaveras,2021,Total population,All ages,24.4,(18.6-30.2),19.356940509915013
Colusa,2021,Total population,All ages,16.1,(11.8-20.4),28.00280112044818
Contra Costa,2021,Total population,All ages,17.8,(15-20.6),15.508196721311476
El Dorado,2021,Total population,All ages,15.2,(11.1-19.2),21.22327044025157
Fresno,2021,Total population,All ages,20.4,(17.3-23.5),41.52602739726027
Glenn,2021,Total population,All ages,16.1,(11.8-20.4),23.5943661971831
Humboldt,2021,Total population,All ages,22.6,(16.1-29.2),20.434131736526947
Imperial,2021,Total population,All ages,17.5,(13.1-21.9),51.556164383561644
Inyo,2021,Total population,All ages,24.4,(18.6-30.2),27.134246575342466
Kern,2021,Total population,All ages,16.8,(13-20.6),47.775342465753425
Kings,2021,Total population,All ages,16.0,(12.4-19.7),54.64657534246575
Lake,2021,Total population,All ages,10.9,(7.1-14.7),14.355263157894736
Los Angeles,2021,Total population,All ages,14.3,(13.4-15.1),28.043835616438358
Madera,2021,Total population,All ages,15.0,(11.4-18.6),41.701949860724234
Marin,2021,Total population,All ages,15.2,(11.7-18.8),13.688524590163935
Mariposa,2021,Total population,All ages,24.4,(18.6-30.2),16.60233918128655
Mendocino,2021,Total population,All ages,20.1,(14.4-25.8),13.21613832853026
Merced,2021,Total population,All ages,14.7,(10.7-18.6),35.2037037037037
Mono,2021,Total population,All ages,24.4,(18.6-30.2),25.755494505494507
Monterey,2021,Total population,All ages,11.3,(6.7-15.9),23.545961002785514
Napa,2021,Total population,All ages,16.3,(11.5-21.2),11.956521739130435
Orange,2021,Total population,All ages,12.2,(10.8-13.6),22.786703601108034
Placer,2021,Total population,All ages,17.4,(14.4-20.4),19.94812680115274
Riverside,2021,Total population,All ages,13.5,(11.7-15.3),42.63013698630137
Sacramento,2021,Total population,All ages,18.8,(16.5-21.1),21.81179775280899
San Benito,2021,Total population,All ages,15.6,(9.5-21.7),19.05785123966942
San Bernardino,2021,Total population,All ages,16.2,(14-18.4),29.564383561643837
San Diego,2021,Total population,All ages,14.3,(13.1-15.6),23.0
San Francisco,2021,Total population,All ages,16.1,(13.4-18.8),15.133333333333333
San Joaquin,2021,Total population,All ages,16.2,(13.4-19.1),32.087671232876716
San Luis Obispo,2021,Total population,All ages,16.9,(12.3-21.4),18.96712328767123
Santa Barbara,2021,Total population,All ages,17.2,(13.7-20.7),19.435616438356163
Santa Clara,2021,Total population,All ages,14.2,(12.4-16.1),18.99173553719008
Shasta,2021,Total population,All ages,12.5,(8.7-16.3),20.274193548387096
Solano,2021,Total population,All ages,19.2,(14.6-23.7),14.224137931034482
Sonoma,2021,Total population,All ages,15.9,(12.5-19.4),13.123626373626374
Stanislaus,2021,Total population,All ages,18.1,(13.8-22.3),35.58100558659218
Sutter,2021,Total population,All ages,17.3,(12.4-22.2),19.875
Tehama,2021,Total population,All ages,16.1,(11.8-20.4),22.692307692307693
Tulare,2021,Total population,All ages,12.0,(9-14.9),51.54385964912281
Ventura,2021,Total population,All ages,15.2,(11.9-18.4),22.467032967032967
Yolo,2021,Total population,All ages,19.4,(12.5-26.4),19.861538461538462
Butte,2021,Child vs. adult,0-17 years,7.9,(1.6-14.3),25.779661016949152
Calaveras,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),19.356940509915013
Contra Costa,2021,Child vs. adult,0-17 years,9.7,(4.9-14.4),15.508196721311476
El Dorado,2021,Child vs. adult,0-17 years,4.9,(0.6-9.1),21.22327044025157
Fresno,2021,Child vs. adult,0-17 years,16.1,(10.5-21.8),41.52602739726027
Humboldt,2021,Child vs. adult,0-17 years,9.2,(0.5-17.9),20.434131736526947
Imperial,2021,Child vs. adult,0-17 years,17.8,(7.9-27.7),51.556164383561644
Inyo,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),27.134246575342466
Kern,2021,Child vs. adult,0-17 years,13.2,(6.6-19.8),47.775342465753425
Kings,2021,Child vs. adult,0-17 years,8.7,(2.2-15.3),54.64657534246575
Los Angeles,2021,Child vs. adult,0-17 years,11.4,(9.6-13.3),28.043835616438358
Madera,2021,Child vs. adult,0-17 years,11.3,(1.7-20.8),41.701949860724234
Marin,2021,Child vs. adult,0-17 years,6.2,(0.4-12),13.688524590163935
Mariposa,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),16.60233918128655
Mono,2021,Child vs. adult,0-17 years,16.4,(1.9-30.9),25.755494505494507
Napa,2021,Child vs. adult,0-17 years,4.2,(0.6-7.8),11.956521739130435
Orange,2021,Child vs. adult,0-17 years,10.7,(6.1-15.4),22.786703601108034
