Year,State,Avg CO2,Avg NO2,Avg Ozone,Avg PM10,Avg PM2.5,Avg SO2,Asthma Prevalence%
2012,Connecticut,0.320282502,8.109864429,0.035286336,12.32598039,8.045964725,0.862446246,14.3
2012,Delaware,0.277460797,8.709592185,0.030528642,,9.856529571,0.802519604,13.6
2012,District of Columbia,0.639856689,15.25817467,0.029507639,16.93006993,10.53358335,1.538781101,14.7
2012,Florida,0.22751048,5.540160597,0.028942212,17.71991376,7.410292554,0.510015048,12.6
2012,Georgia,0.326273905,6.256915929,0.032012431,17.93732194,10.58976538,1.429071666,13.0
2012,Hawaii,0.396409861,2.852102758,0.022133461,15.25932836,7.876666847,11.26275027,14.3
2012,Idaho,0.287493967,10.40247248,0.035876696,20.52868288,13.49857917,2.792884711,11.6
2012,Illinois,0.388191976,14.9078095,0.03098635,29.38826185,,1.408764316,12.5
2012,Indiana,0.5615263,9.528125849,0.036128074,22.25244073,11.67331068,2.418994028,13.0
2012,Iowa,0.223520596,5.997578898,0.035700982,24.97643098,9.916741372,1.340048773,11.7
2012,Kansas,0.376133306,7.584643026,0.034515973,22.52462956,8.423860182,1.26129036,11.9
2012,Kentucky,0.320975631,6.061612859,0.035502856,19.35714286,10.77156003,1.489502447,16.0
2012,Louisiana,0.221186659,6.976247499,0.028268727,21.67711301,9.430461703,3.177883444,12.1
2012,Maine,0.239254318,5.455319851,0.030273075,15.53277712,,0.555109304,14.9
2012,Maryland,0.212408788,12.31093171,0.03475536,13.09937888,10.0794002,0.944037746,13.4
2012,Massachusetts,0.290975008,9.474699311,0.032966265,13.99263623,8.420305344,1.811151249,15.5
2012,Michigan,0.268030109,10.23590624,0.036091258,26.78847093,8.762738161,1.962280002,15.5
2012,Minnesota,0.083645516,5.981087906,0.030625324,20.1180989,7.956726074,0.378796601,11.3
2012,Mississippi,0.210250485,4.023180052,0.033111089,17.37777778,11.23213615,0.74419238,11.7
2012,Missouri,0.273933613,14.16493191,0.039694085,25.39869281,10.39670124,3.422529699,14.4
2012,Montana,0.097503794,1.453141057,0.029613555,22.2520503,9.693127487,1.146632836,13.7
2012,Nebraska,0.363464167,,0.035165203,34.05828422,9.187323324,1.55245534,10.8
2012,Nevada,0.431770398,11.40289582,0.038964206,21.59841755,7.642845562,0.852539622,11.6
2012,New Hampshire,0.251717561,1.7731655,0.031191036,9.72,6.510934787,0.996571061,14.1
2012,New Jersey,0.423893841,14.34617832,0.029748386,29.36024845,9.069480171,0.960306939,12.4
2012,New Mexico,0.327619821,7.157870671,0.036826785,31.35580222,6.850880797,0.495135513,13.3
2012,New York,0.289553829,12.7248597,0.029513901,,8.625608297,1.260925411,13.8
2012,North Carolina,0.294188275,8.781099755,0.032855251,14.59496568,9.010143323,0.564275602,11.7
2012,North Dakota,0.174130724,2.867236563,0.03041801,15.0283353,6.314992098,0.805822184,10.5
2012,Ohio,0.330948808,13.80562315,0.035963919,21.57990368,10.92530267,2.358252174,14.0
2012,Oklahoma,0.169097212,7.026318172,0.036145373,22.91757246,10.27886521,1.554098238,14.0
2012,Oregon,0.301399965,9.159995682,0.028179007,13.64655172,7.849968214,0.633979453,16.9
2012,Pennsylvania,0.22810357,9.149750228,0.029692244,17.28120823,10.72585123,2.152230274,13.5
2012,Rhode Island,0.229885307,6.965730797,0.032712779,12.57254902,7.18373013,1.183964174,15.9
2012,South Carolina,0.165409402,5.223286105,0.030388848,17.59870711,9.120025031,0.38761619,13.1
2012,South Dakota,0.168315012,4.79359016,0.035527568,20.2628802,7.133603472,0.370280889,10.9
2012,Tennessee,0.332518619,8.961232508,0.035469665,19.02774869,11.66599453,1.8405685,11.0
2012,Texas,0.218874638,7.20200423,0.03050808,24.32724359,10.7576472,0.594170949,10.9
2012,Utah,0.392007824,8.177167826,0.040569512,21.59879699,7.25267111,0.995267907,12.9
2012,Vermont,0.290980719,6.989561291,0.032081997,6.919831224,6.785278276,0.971185135,15.0
2012,Virginia,0.290443255,8.108859938,0.033979932,13.52683897,8.627237354,0.68695801,13.4
2012,Washington,0.353518598,6.951067026,0.027004883,18.44366197,7.063166856,0.592949622,15.0
2012,West Virginia,0.39380832,,0.032728466,15.27084769,10.34393404,3.936168736,12.7
2012,Wisconsin,0.141462684,5.841868224,0.036165857,14.37479979,8.695188598,1.863157437,11.1
2012,Wyoming,0.208388863,2.955943681,0.040175079,20.37669456,5.198189585,0.949889218,12.3
2013,Alabama,0.322695644,12.06563497,0.027317178,16.87207425,9.633420729,0.834717748,13.6
2013,Alaska,0.554919362,,0.024112963,15.31612471,5.352286596,7.073192103,14.8
2013,Arizona,0.360944593,15.44735986,0.037182188,34.01784795,8.078840381,2.603159931,14.6
2013,Arkansas,0.384976637,9.039706553,0.031176805,18.1512605,9.874479804,1.432865556,13.1
2013,California,0.343985553,10.49702772,0.031727802,27.39538932,10.35891212,0.577713002,14.4
2013,Colorado,0.324703052,8.444688185,0.039796485,20.86710207,6.947125311,1.583740464,13.5
2013,Connecticut,0.296519131,9.384362554,0.035531668,12.04962779,7.988758389,0.736464943,16.6
2013,Delaware,0.295630302,6.126559388,0.030327331,,8.778214327,0.683370439,15.4
2013,District of Columbia,0.414290303,12.00478341,0.027321209,16.53907816,10.12296912,1.001091044,17.5
2013,Florida,0.181086466,4.812041986,0.028095227,16.2420793,6.377586582,0.333670693,13.5
2013,Georgia,0.322592695,5.398513434,0.028691208,16.80842105,10.0165735,1.495409115,14.0
2013,Hawaii,0.428323946,2.596666898,0.023117261,14.97850467,6.890917404,8.109567546,16.6
2013,Idaho,0.295455257,11.12648475,0.033305623,20.26076321,11.80452124,2.39838752,12.9
2013,Illinois,0.229082346,14.48785979,0.029283727,27.79858657,,1.235859927,12.0
2013,Indiana,0.407948917,8.793660345,0.033187343,19.79990628,10.97559178,2.275493275,15.3
2013,Iowa,0.209720941,6.402702486,0.032243165,25.85175737,9.673871784,1.204789535,12.2
2013,Kansas,0.365130837,6.881953466,0.031778668,18.16714697,8.414027539,1.030381543,13.4
2013,Kentucky,0.269305579,5.953882326,0.031392168,17.10316041,10.40512064,0.897024985,14.2
2013,Louisiana,0.203553163,6.617666495,0.026673814,20.22722915,8.520075549,2.052545332,12.3
2013,Maine,0.190477949,4.966140493,0.030575613,14.04331683,7.775863317,0.738410803,16.2
2013,Maryland,0.196258122,11.18955945,0.032684722,13.07210031,9.110047955,0.797224056,13.9
2013,Massachusetts,0.262529038,10.05432137,0.031384645,15.18265683,7.49026174,1.529445345,16.8
2013,Michigan,0.24714564,9.861018791,0.033891995,21.4370438,8.561712706,1.512019273,16.6
2013,Minnesota,0.091861909,7.842582859,0.030629298,19.28749463,6.991986099,0.588248173,11.9
2013,Mississippi,0.229334698,4.132616407,0.03014341,19.46808511,,0.575347866,12.5
2013,Missouri,0.277690177,12.83832634,0.034487471,21.10346125,9.938970813,2.868540939,15.7
2013,Montana,0.092513015,1.259909248,0.031004252,17.14720571,7.160451162,1.28681584,13.2
2013,Nebraska,0.297878255,,0.032065871,25.4735432,9.353838514,1.3406703,11.2
2013,Nevada,0.400197462,11.89419254,0.036452417,23.1862926,10.02938946,1.013827849,11.4
2013,New Hampshire,0.199731518,1.564657,0.031292193,10.97741935,7.293272194,1.106667208,16.7
2013,New Jersey,0.391821276,13.95269575,0.029418925,20.52857143,9.008254242,0.612221635,13.6
2013,New Mexico,0.231916012,6.723164549,0.036712248,30.42367536,6.633288202,0.354096862,14.5
2013,New York,0.271510523,14.70505113,0.029540275,,7.897189884,1.213943159,14.9
2013,North Carolina,0.300771448,7.295872358,0.030046644,14.35460479,8.99457737,0.43314508,13.1
2013,North Dakota,0.148977416,2.667126625,0.031950642,13.50909091,5.862088923,0.751887761,12.3
2013,Ohio,0.339324665,11.44984792,0.031766256,19.51182508,10.41978425,1.774709111,14.2
2013,Oklahoma,0.170760358,6.866606223,0.033234799,18.7761807,9.45775873,1.115904341,14.6
2013,Oregon,0.289265277,9.700455373,0.025659208,14.59291598,10.18809219,1.068462781,18.2
2013,Pennsylvania,0.167754339,7.964776272,0.029593792,16.88896045,10.60462825,1.850524864,14.2
2013,Rhode Island,0.223141616,7.035019163,0.033365777,13.57291667,7.111840021,0.596084333,17.4
2013,South Carolina,0.152926079,5.409638208,0.027416892,15.28672087,8.637227273,0.326794904,13.4
2013,South Dakota,0.163428374,4.074681191,0.034698894,18.53433678,7.760101358,0.338284129,11.8
2013,Tennessee,0.292886185,8.987876158,0.031683519,17.86292655,9.789577112,1.095816999,11.3
2013,Texas,0.194186167,6.78735486,0.029377752,24.45273632,10.27453646,0.504191993,12.6
2013,Utah,0.424863617,9.620149079,0.041028581,21.6334471,11.30112817,1.131411857,14.1
2013,Vermont,0.309056181,6.932164777,0.032610321,8.854111406,6.392351275,0.621583868,16.4
2013,Virginia,0.28937342,7.626290013,0.030846891,12.06168446,8.072654321,0.828578391,13.6
2013,Washington,0.339882338,8.030133184,0.02527776,19.6141844,7.885229657,0.516237417,15.8
2013,West Virginia,0.320642134,,0.029647079,13.56054087,9.53528729,3.323613651,13.6
2013,Wisconsin,0.179980352,5.436921708,0.034429926,13.3681936,8.069920734,1.635240762,14.9
2013,Wyoming,0.136309275,2.905541787,0.039249683,15.18744031,3.980965801,1.346621553,14.1
2014,Alabama,0.365420153,11.82473891,0.02786963,18.97540624,10.24170069,1.376053775,14.6
2014,Alaska,0.595563632,11.81133749,0.022347192,20.31464738,6.410902681,7.10547629,12.4
2014,Arizona,0.397211492,15.1971954,0.035741835,35.13327079,7.922532098,2.709213786,14.3
2014,Arkansas,0.34797077,8.315876453,0.029056263,17.54042553,9.502781137,1.333947399,13.3
2014,California,0.323637765,9.960611811,0.032905484,26.66550463,9.476808195,0.51838675,12.7
2014,Colorado,0.351576349,9.127294019,0.037972186,20.91632066,7.097192158,1.441744303,12.2
2014,Connecticut,0.267383348,9.502037281,0.034760951,11.82238443,8.374185712,0.706541505,14.1
2014,Delaware,0.237570353,7.278870219,0.029967051,,9.074625871,0.717856364,14.4
2014,District of Columbia,0.430950001,11.65306661,0.027605331,16.60055096,9.723863006,1.18247939,17.2
2014,Florida,0.231470722,6.538780792,0.028305154,15.61561905,7.245217711,0.641859949,12.2
2014,Georgia,0.33412946,7.995486624,0.029900509,17.09751037,10.39899719,1.445321119,13.8
2014,Hawaii,0.369053092,2.903146962,0.022027588,15.8505618,6.308076933,7.938536632,16.2
2014,Idaho,0.282463638,10.97581549,0.033541165,16.97464789,9.109390913,1.974875441,12.3
2014,Illinois,0.237571245,14.00666459,0.029265205,33.53208556,10.6681074,1.324209845,14.0
2014,Indiana,0.383939386,9.559265236,0.031993179,20.36587983,11.71355525,2.316030631,14.6
2014,Iowa,0.207773417,5.981348726,0.030818956,25.91060522,9.46883457,1.55297205,13.2
2014,Kansas,0.265495797,6.262620005,0.031571792,20.45681818,8.889492754,1.406324953,13.6
2014,Kentucky,0.268305771,6.848791107,0.03212793,17.37106918,10.70686563,1.180355289,16.9
2014,Louisiana,0.265449838,6.993399803,0.026080395,19.55002417,8.611344245,1.861851682,12.5
2014,Maine,0.187944479,4.51580057,0.029840561,13.38757396,6.936470925,0.488267756,16.4
2014,Maryland,0.208609598,10.66890164,0.032594172,13.5310559,9.167336125,0.988794198,13.5
2014,Massachusetts,0.257745723,10.18530971,0.030315536,13.10404624,6.923560463,1.205271313,17.6
2014,Michigan,0.285318312,9.779917369,0.032660881,22.50046125,9.230729401,1.826410393,15.3
2014,Minnesota,0.152158553,9.303189764,0.028723188,19.52147239,7.119954182,0.593539527,11.8
2014,Mississippi,0.2245022,4.446423416,0.029943842,17.58823529,,0.640735344,12.5
2014,Missouri,0.269721779,11.94162724,0.033162657,22.07623318,9.989789423,2.115547793,14.5
2014,Montana,0.131445012,1.463533303,0.030725988,17.03557225,6.79710911,1.288743003,13.4
2014,Nebraska,0.367805503,,0.031556891,23.81412392,8.235614611,1.148236858,12.2
2014,Nevada,0.355180603,11.81303922,0.037375402,21.21333681,7.523994194,0.85361022,12.3
2014,New Hampshire,0.170724999,2.455050431,0.030882378,9.839541547,7.333992322,0.965439131,14.1
2014,New Jersey,0.357939837,14.6017652,0.028902924,17.35,8.8739093,0.597665262,12.4
2014,New Mexico,0.209078818,6.24875249,0.034827215,29.18206657,6.168805993,0.211154746,14.4
2014,New York,0.267362242,12.74247777,0.029423674,,7.227213071,1.060308272,15.0
2014,North Carolina,0.288847369,8.142383207,0.032532964,13.07922272,9.087508067,0.366319733,11.5
2014,North Dakota,0.161692233,2.973742882,0.030294226,13.33901252,4.596545525,0.7209514,12.2
2014,Ohio,0.270706732,13.52593137,0.031914515,18.88755927,10.74273985,1.78985812,15.0
2014,Oklahoma,0.161611216,6.137397364,0.032447553,21.76752475,8.788422973,0.750801204,14.3
2014,Oregon,0.28733651,9.962058228,0.02626709,12.16448598,7.699091544,0.826138242,16.6
2014,Pennsylvania,0.23001047,8.565970267,0.029341118,16.71424695,10.67362093,1.873974491,14.3
2014,Rhode Island,0.377892998,9.949992066,0.032253672,12.36594203,5.663477292,0.592938156,15.2
2014,South Carolina,0.157111683,5.835132465,0.029261703,15.78992962,9.007565618,0.444417683,13.1
2014,South Dakota,0.187570234,3.875078486,0.03284844,18.0655914,5.739605016,0.377226486,11.2
2014,Tennessee,0.281815513,9.277416701,0.032098703,18.13362702,9.188742972,1.953820455,14.4
2014,Texas,0.205339965,6.761910717,0.028146112,24.82297447,9.988993242,0.412404643,11.1
2014,Utah,0.481780631,8.209862269,0.038512686,18.6473251,7.413085532,0.510796862,13.4
2014,Vermont,0.178588917,7.086333191,0.032675663,9.955958549,6.264637802,0.492667315,16.5
2014,Virginia,0.273694199,7.889916159,0.032200118,11.75984752,8.180412979,0.828594333,12.7
2014,Washington,0.341107403,12.49147325,0.027462989,19.40066778,7.048055135,0.430412546,14.8
2014,West Virginia,0.320469426,,0.030068131,13.35204082,9.816312057,2.814657175,14.5
2014,Wisconsin,0.200960449,9.726578709,0.033358416,12.63770686,8.632612179,1.835755477,12.7
2014,Wyoming,0.122578552,3.094974108,0.037848837,14.95080946,3.960835358,1.630960311,12.0
2015,Alabama,0.380502621,11.05435792,0.026576062,18.22177238,9.702709661,1.019807959,15.6
2015,Alaska,0.481522846,12.68160637,0.023897632,16.88858696,6.650752822,6.672899374,13.4
2015,Arizona,0.389268476,13.6805002,0.035226971,26.76830329,7.103567462,2.670254776,15.7
2015,Arkansas,0.306777874,7.837820586,0.029098931,18.63636364,9.0265,1.525263825,16.1
2015,California,0.332364016,9.851593914,0.032630451,24.40834132,9.348461812,0.461308937,12.9
2015,Colorado,0.38498382,10.06933632,0.037977408,18.10181628,6.987689391,1.523520817,13.9
2015,Connecticut,0.28363434,10.41652359,0.035598258,13.59513889,8.314363978,0.411937215,16.4
2015,Delaware,0.309838461,12.2041899,0.030847753,,8.912747529,0.437944403,14.4
2015,District of Columbia,0.408171992,13.67847264,0.028166762,16.54794521,9.985713713,1.270721482,17.1
2015,Florida,0.258838921,5.914833046,0.027490319,15.92785687,7.034115141,0.653993524,12.5
2015,Georgia,0.455684902,10.11051587,0.028619225,16.54315789,9.374664762,1.215940723,14.3
2015,Hawaii,0.435198217,2.952080871,0.023606277,16.18280632,6.576265868,8.211560851,16.8
2015,Idaho,0.320768612,11.39834954,0.033220926,19.81097008,9.409536268,1.549241453,13.7
2015,Illinois,0.252550379,13.51523924,0.029501407,27.64047619,9.470333834,1.269835629,13.6
2015,Indiana,0.413840095,8.680632568,0.031206087,19.70852957,10.19220808,1.87033646,14.8
2015,Iowa,0.213900409,5.644759841,0.030868582,24.59854651,8.615060369,0.980828772,12.2
2015,Kansas,0.285033537,5.599686256,0.03066789,19.29628028,7.717364747,1.210264012,13.5
2015,Kentucky,0.247307904,7.20871092,0.030810219,17.38607116,9.702445433,0.623073111,17.7
2015,Louisiana,0.472752425,6.48093702,0.026189343,19.48587896,9.287496893,1.448658207,14.6
2015,Maine,0.212492412,4.867323641,0.029721812,13.78966346,6.915905675,0.613814344,15.7
2015,Maryland,0.235244571,11.08557144,0.033418646,14.27419355,9.191368268,0.87628771,13.9
2015,Massachusetts,0.248648896,10.0833004,0.029872737,12.41139241,6.553237235,0.703573683,15.5
2015,Michigan,0.320363791,10.46180538,0.03296071,23.94757282,9.298913717,1.445908193,15.7
2015,Minnesota,0.184448831,8.237305251,0.02957722,21.71167127,6.666180866,0.68205078,11.1
2015,Mississippi,0.327937922,5.22442119,0.028772404,18.91919192,8.750714286,0.516226761,12.2
2015,Missouri,0.283653755,11.02492144,0.032112463,21.49135802,9.212872712,1.546629434,14.5
2015,Montana,0.168483728,0.979404393,0.030821725,21.38383382,8.804004957,0.721777593,12.7
2015,Nebraska,0.34450575,,0.031686098,22.58378747,8.066745256,0.830750249,12.1
2015,Nevada,0.327754183,14.17220775,0.036553125,17.99032553,7.039632314,0.783798533,13.6
2015,New Hampshire,0.177921118,3.403831937,0.030418361,11.33554084,6.957682675,0.81951774,15.2
2015,New Jersey,0.360781463,14.35584708,0.029796986,20.71785714,9.277927822,0.312841516,11.6
2015,New Mexico,0.211521659,6.179883135,0.034625134,22.11405134,6.856774973,0.261823128,15.1
2015,New York,0.242944272,13.08480194,0.029443619,,7.468089072,0.99546111,14.7
2015,North Carolina,0.272257416,7.233760927,0.032474009,13.2611465,8.733967766,0.362534587,13.4
2015,North Dakota,0.16722159,2.748835415,0.030446615,14.3643827,5.702163887,0.718048247,12.8
