Year,State,Predicted Asthma Prevalence %,Avg CO2,Avg NO2,Avg Ozone,Avg PM10,Avg PM2.5,Avg SO2,Smoking Prevalence %
2025,Alabama,15.410599999999937,0.2214448701909113,8.329391921685556,0.024806534309090966,17.186061981272815,6.9518316976545975,0.5164662115909096,15.562727272727216
2026,Alabama,15.366799999999936,0.2108381795454548,8.016938577785368,0.024451123727272872,17.030834092727332,6.685530615272796,0.45239428209092125,14.972727272727298
2027,Alabama,15.325799999999937,0.20023148890000186,7.704485233885066,0.024095713145454667,16.875606204181906,6.419229532890881,0.38832235259090453,14.38272727272738
2025,Alaska,14.214200000000009,0.21811246057271916,8.376932434594323,0.02738867017272717,10.084388080727422,7.301814258463679,2.5763964952634524,15.248181818181934
2026,Alaska,14.229200000000011,0.18691215718180842,7.9588033421619,0.027714722363636257,9.546487392727386,7.42196524490916,2.1794394815452733,14.754545454545564
2027,Alaska,14.27360000000001,0.1557118537909048,7.540674249729591,0.028040774554545345,9.00858670472735,7.542116231354612,1.7824824678270943,14.260909090909195
2025,Arizona,15.125000000000036,0.2744608382545479,11.731151124545477,0.03750750315454543,25.625847144818408,7.3589114345272435,0.2253759515909337,10.860000000000127
2026,Arizona,15.138200000000031,0.2657468417272746,11.400918685909119,0.037582311636363636,24.795902435454764,7.283254684999974,0.011949599636409403,10.363636363636488
2027,Arizona,15.13100000000003,0.25703284520000125,11.070686247272647,0.037657120118181814,23.96595772609112,7.207597935472677,-0.20147675231817175,9.867272727272848
2025,Arkansas,13.822200000000004,0.21956372091818466,5.4612405986741805,0.02753713383636358,13.430723681545487,7.170073311163662,-0.08028181300912252,17.61999999999989
2026,Arkansas,13.875,0.20476979354545932,5.164976482943189,0.027238526545454445,12.958496454545525,6.930302707636372,-0.20467366318183622,16.97272727272707
2027,Arkansas,13.960799999999997,0.18997586617273043,4.868712367212083,0.02693991925454542,12.486269227545563,6.6905321041090815,-0.32906551335457834,16.325454545454477
2025,California,14.454899999999979,0.31412255352727314,8.681041615568176,0.0330174047272727,29.069924401727064,10.520778889099972,0.31795065904545794,7.187272727272671
2026,California,14.49849999999998,0.3117393421818182,8.542368308988614,0.033070309363636335,29.319045905454345,10.58351767118178,0.2937821116363679,6.727272727272634
2027,California,14.510899999999983,0.30935613083636326,8.403695002409108,0.03312321399999997,29.568167409181626,10.646256453263604,0.2696135642272779,6.267272727272712
2025,Colorado,14.2222,0.28349925869090953,10.015364635359816,0.03980685697272727,19.804423253090874,7.9706729025909056,0.43604750375453705,9.61545454545444
2026,Colorado,14.258199999999999,0.27854482218181786,10.099304626051122,0.03981651936363636,19.69097239181812,8.041324548636368,0.3535435240908953,8.990909090908872
2027,Colorado,14.300199999999995,0.273590385672728,10.1832446167424,0.03982618175454545,19.577521530545397,8.111976194681802,0.27103954442725353,8.36636363636353
2025,Connecticut,15.535799999999965,0.19992368223636348,11.078791344117406,0.032965551999999954,14.10137929890908,5.660938612472648,-0.4475050531636384,8.456363636363676
2026,Connecticut,15.499199999999966,0.1912673456363656,11.178281535369308,0.0328114093636363,14.25250514000004,5.450410334999958,-0.5502641529090795,7.8727272727273885
2027,Connecticut,15.469599999999971,0.18261100903636418,11.27777172662121,0.03265726672727265,14.403630981090942,5.239882057527211,-0.653023252654549,7.2890909090908735
2025,Delaware,14.316199999999993,0.22627182879999808,10.46495566744315,0.029942586863636406,,5.452244130327244,-0.38203358751817973,11.197272727272775
2026,Delaware,14.319399999999993,0.22197107699999918,10.545604484426093,0.02988206372727277,,5.132113096272633,-0.4830473946363725,10.481818181818198
2027,Delaware,14.296699999999994,0.21767032519999852,10.626253301409037,0.029821540590909135,,4.811982062218135,-0.5840612017545652,9.766363636363621
2025,District of Columbia,16.317399999999964,0.12255983712726959,8.401128376159136,0.026954247263636377,14.833176166727299,6.712185340727274,-0.11409319066365242,5.880000000000109
2026,District of Columbia,16.306799999999964,0.08894971036363586,7.952725579306843,0.026854065909090924,14.654713223636406,6.424867382909042,-0.2531899180000323,4.836363636363785
2027,District of Columbia,16.29539999999996,0.05533958360000213,7.504322782454551,0.02675388455454547,14.476250280545514,6.137549425090924,-0.3922866453364122,3.7927272727274612
2025,Florida,12.86239999999998,0.3470665864363589,8.370214371447162,0.027696313551514917,17.134773468060523,7.099547812927227,0.7539384996423948,11.78181818181804
2026,Florida,12.852399999999978,0.3563088031454491,8.589513360788317,0.02759417667272704,17.17064411890899,7.084434146709043,0.7659267852363314,11.307272727272561
2027,Florida,12.856399999999978,0.3655510198545393,8.808812350129529,0.027492039793939133,17.20651476975747,7.069320480490855,0.777915070830268,10.832727272727197
2025,Georgia,13.886399999999995,0.5719493962818234,18.25743418092793,0.02526429498181826,13.304815792999875,7.234508691609108,0.33222611608181296,12.74363636363637
2026,Georgia,13.9296,0.589075122818187,19.101543692789846,0.02475445254545461,12.954265884545293,6.97018394690906,0.24131884281817406,12.200000000000045
2027,Georgia,13.958599999999999,0.6062008493545505,19.945653204651535,0.024244610109090958,12.603715976090712,6.705859202209126,0.15041156955453516,11.656363636363722
2025,Hawaii,15.356400000000098,0.12178231959999408,3.6691651837159043,0.02385132203636367,9.06713697209102,1.3000929794726517,-0.343826401664046,9.092727272727188
2026,Hawaii,15.377600000000097,0.09927690999999328,3.7309516998806913,0.023910573818181846,8.52892053181813,0.8197497572725752,-1.1228632787276638,8.627272727272725
2027,Hawaii,15.395000000000097,0.07677150039999248,3.792738216045464,0.023969825600000036,7.990704091545467,0.3394065350726123,-1.9019001557912816,8.161818181818148
